Orthogroup	OQ475017	PQ335173_PQ335174
OG0000000	OQ475017.1_00006 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00020 PQ335173_PQ335174 - hypothetical protein translation
OG0000001	OQ475017.1_00015 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00010 PQ335173_PQ335174 - hypothetical protein translation
OG0000002	OQ475017.1_00002 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00024 PQ335173_PQ335174 - hypothetical protein translation
OG0000003	OQ475017.1_00005 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00021 PQ335173_PQ335174 - hypothetical protein translation
OG0000004	OQ475017.1_00007 OQ475017.1 - Major capsid protein translation	PQ335173_PQ335174_00019 PQ335173_PQ335174 - Major capsid protein translation
OG0000005	OQ475017.1_00008 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00018 PQ335173_PQ335174 - hypothetical protein translation
OG0000006	OQ475017.1_00014 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00011 PQ335173_PQ335174 - hypothetical protein translation
OG0000007	OQ475017.1_00018 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00007 PQ335173_PQ335174 - hypothetical protein translation
OG0000008	OQ475017.1_00019 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00006 PQ335173_PQ335174 - hypothetical protein translation
OG0000009	OQ475017.1_00020 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00005 PQ335173_PQ335174 - hypothetical protein translation
OG0000010	OQ475017.1_00022 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00003 PQ335173_PQ335174 - hypothetical protein translation
OG0000011	OQ475017.1_00023 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00002 PQ335173_PQ335174 - hypothetical protein translation
OG0000012	OQ475017.1_00027 OQ475017.1 - Ribonucleoside-diphosphate reductase small chain translation	PQ335173_PQ335174_00112 PQ335173_PQ335174 - Ribonucleoside-diphosphate reductase small chain translation
OG0000013	OQ475017.1_00029 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00105 PQ335173_PQ335174 - hypothetical protein translation
OG0000014	OQ475017.1_00030 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00107 PQ335173_PQ335174 - hypothetical protein translation
OG0000015	OQ475017.1_00031 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00108 PQ335173_PQ335174 - hypothetical protein translation
OG0000016	OQ475017.1_00036 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00111 PQ335173_PQ335174 - hypothetical protein translation
OG0000017	OQ475017.1_00044 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00095 PQ335173_PQ335174 - hypothetical protein translation
OG0000018	OQ475017.1_00047 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00092 PQ335173_PQ335174 - hypothetical protein translation
OG0000019	OQ475017.1_00048 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00091 PQ335173_PQ335174 - hypothetical protein translation
OG0000020	OQ475017.1_00049 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00090 PQ335173_PQ335174 - hypothetical protein translation
OG0000021	OQ475017.1_00054 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00086 PQ335173_PQ335174 - hypothetical protein translation
OG0000022	OQ475017.1_00055 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00085 PQ335173_PQ335174 - hypothetical protein translation
OG0000023	OQ475017.1_00056 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00084 PQ335173_PQ335174 - hypothetical protein translation
OG0000024	OQ475017.1_00057 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00083 PQ335173_PQ335174 - hypothetical protein translation
OG0000025	OQ475017.1_00059 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00081 PQ335173_PQ335174 - hypothetical protein translation
OG0000026	OQ475017.1_00062 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00078 PQ335173_PQ335174 - hypothetical protein translation
OG0000027	OQ475017.1_00063 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00075 PQ335173_PQ335174 - hypothetical protein translation
OG0000028	OQ475017.1_00075 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00066 PQ335173_PQ335174 - hypothetical protein translation
OG0000029	OQ475017.1_00078 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00065 PQ335173_PQ335174 - hypothetical protein translation
OG0000030	OQ475017.1_00079 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00064 PQ335173_PQ335174 - hypothetical protein translation
OG0000031	OQ475017.1_00080 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00063 PQ335173_PQ335174 - hypothetical protein translation
OG0000032	OQ475017.1_00083 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00060 PQ335173_PQ335174 - hypothetical protein translation
OG0000033	OQ475017.1_00084 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00059 PQ335173_PQ335174 - hypothetical protein translation
OG0000034	OQ475017.1_00085 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00058 PQ335173_PQ335174 - hypothetical protein translation
OG0000035	OQ475017.1_00086 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00057 PQ335173_PQ335174 - hypothetical protein translation
OG0000036	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00056 PQ335173_PQ335174 - hypothetical protein translation
OG0000037	OQ475017.1_00092 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00051 PQ335173_PQ335174 - hypothetical protein translation
OG0000038	OQ475017.1_00093 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00050 PQ335173_PQ335174 - hypothetical protein translation
OG0000039	OQ475017.1_00094 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00049 PQ335173_PQ335174 - hypothetical protein translation
OG0000040	OQ475017.1_00097 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00035 PQ335173_PQ335174 - hypothetical protein translation
OG0000041	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00039 PQ335173_PQ335174 - hypothetical protein translation
OG0000042	OQ475017.1_00108 OQ475017.1 - hypothetical protein translation	PQ335173_PQ335174_00041 PQ335173_PQ335174 - hypothetical protein translation
