HOG	OG	Gene Tree Parent Clade	AF303741.1	AF371960.1	AY521625.1	AY532606.1	AY779031.1	AY894343.1	BD143114.1	GQ273492.1	HF920633.1	HF920637.1	KC244182.1	KF938901.1	KT804738.1	L63545.1	LS484712.1	MF599468.1	MG570131.1	MG570132.1	MK098185.1	MK098186.1	MK098187.1	MK689685.1	MK689686.1	MN432490.1	MN562489.1	MN803438.1	MT521409.1	MT798582.1	MT926123.1	MT986830.1	MW139932.1	NC_005946.1	NC_027778.1	OK042108.1	OK042109.1	OL310752.1	OL774653.1	OL774654.1	OL774655.1	OM037668.1	ON075463.1	ON740976.1	ON743042.1	OP009387.1	OQ475017.1
N33.HOG0000000	OG0000000	n0																									MN562489.1_00102		MT521409.1_00103						NC_027778.1_00083												
N33.HOG0000001	OG0000001	n0																									MN562489.1_00081		MT521409.1_00082						NC_027778.1_00062												
N33.HOG0000002	OG0000002	n0																									MN562489.1_00080		MT521409.1_00081						NC_027778.1_00061												
N33.HOG0000003	OG0000003	n0																									MN562489.1_00087		MT521409.1_00088						NC_027778.1_00068												
N33.HOG0000004	OG0000004	n0																									MN562489.1_00060		MT521409.1_00061						NC_027778.1_00040												
N33.HOG0000005	OG0000005	n0																									MN562489.1_00056		MT521409.1_00057						NC_027778.1_00036												
N33.HOG0000006	OG0000006	n0																									MN562489.1_00116		MT521409.1_00117						NC_027778.1_00098												
N33.HOG0000007	OG0000007	n0																									MN562489.1_00052		MT521409.1_00053						NC_027778.1_00032												
N33.HOG0000008	OG0000008	n0																									MN562489.1_00099		MT521409.1_00100						NC_027778.1_00080												
N33.HOG0000009	OG0000009	n0																									MN562489.1_00059		MT521409.1_00060						NC_027778.1_00039												
N33.HOG0000010	OG0000010	n5																									MN562489.1_00002		MT521409.1_00002						NC_027778.1_00123, NC_027778.1_00122												
N33.HOG0000011	OG0000010	n9																									MN562489.1_00010		MT521409.1_00010						NC_027778.1_00131												
N33.HOG0000012	OG0000010	n12																									MN562489.1_00131		MT521409.1_00132						NC_027778.1_00114, NC_027778.1_00120												
N33.HOG0000013	OG0000011	n0																									MN562489.1_00128		MT521409.1_00129						NC_027778.1_00111												
N33.HOG0000014	OG0000012	n0																									MN562489.1_00096		MT521409.1_00097						NC_027778.1_00077												
N33.HOG0000015	OG0000013	n0																									MN562489.1_00038		MT521409.1_00039						NC_027778.1_00018												
N33.HOG0000016	OG0000014	n0																									MN562489.1_00058		MT521409.1_00059						NC_027778.1_00038												
N33.HOG0000017	OG0000015	n0																									MN562489.1_00133		MT521409.1_00134						NC_027778.1_00116												
N33.HOG0000018	OG0000016	n0																									MN562489.1_00047		MT521409.1_00048						NC_027778.1_00027												
N33.HOG0000019	OG0000017	n0																									MN562489.1_00011		MT521409.1_00011						NC_027778.1_00132												
N33.HOG0000020	OG0000018	n0																									MN562489.1_00063		MT521409.1_00064						NC_027778.1_00043												
N33.HOG0000021	OG0000019	n0																									MN562489.1_00046		MT521409.1_00047						NC_027778.1_00026												
N33.HOG0000022	OG0000020	n0																									MN562489.1_00012		MT521409.1_00012						NC_027778.1_00133												
N33.HOG0000023	OG0000021	n0																									MN562489.1_00124		MT521409.1_00125						NC_027778.1_00106												
N33.HOG0000024	OG0000022	n0																									MN562489.1_00008		MT521409.1_00008						NC_027778.1_00129												
N33.HOG0000025	OG0000023	n0																									MN562489.1_00023		MT521409.1_00024						NC_027778.1_00003												
N33.HOG0000026	OG0000024	n0																									MN562489.1_00073		MT521409.1_00074						NC_027778.1_00054												
N33.HOG0000027	OG0000025	n0																									MN562489.1_00113		MT521409.1_00114						NC_027778.1_00094, NC_027778.1_00095												
N33.HOG0000028	OG0000026	n0																									MN562489.1_00062		MT521409.1_00063						NC_027778.1_00042												
