HOG	OG	Gene Tree Parent Clade	AF303741.1	AF371960.1	AY521625.1	AY532606.1	AY779031.1	AY894343.1	BD143114.1	GQ273492.1	HF920633.1	HF920637.1	KC244182.1	KF938901.1	KT804738.1	L63545.1	LS484712.1	MF599468.1	MG570131.1	MG570132.1	MK098185.1	MK098186.1	MK098187.1	MK689685.1	MK689686.1	MN432490.1	MN562489.1	MN803438.1	MT521409.1	MT798582.1	MT926123.1	MT986830.1	MW139932.1	NC_005946.1	NC_027778.1	OK042108.1	OK042109.1	OL310752.1	OL774653.1	OL774654.1	OL774655.1	OM037668.1	ON075463.1	ON740976.1	ON743042.1	OP009387.1	OQ475017.1
N27.HOG0000000	OG0000000	n0		AF371960.1_00031																				MK689685.1_00029		MN432490.1_00032					MT926123.1_00032	MT986830.1_00033														OP009387.1_00030	
N27.HOG0000001	OG0000001	n0		AF371960.1_00008																				MK689685.1_00008		MN432490.1_00008					MT926123.1_00008	MT986830.1_00008														OP009387.1_00008	
N27.HOG0000002	OG0000002	n0		AF371960.1_00007																				MK689685.1_00007		MN432490.1_00007					MT926123.1_00007	MT986830.1_00007														OP009387.1_00007	
N27.HOG0000003	OG0000003	n0		AF371960.1_00015																				MK689685.1_00015		MN432490.1_00015					MT926123.1_00015	MT986830.1_00015														OP009387.1_00015	
N27.HOG0000004	OG0000004	n0		AF371960.1_00112																				MK689685.1_00110		MN432490.1_00113					MT926123.1_00112	MT986830.1_00116														OP009387.1_00112	
N27.HOG0000005	OG0000005	n0		AF371960.1_00096																				MK689685.1_00094		MN432490.1_00097					MT926123.1_00096	MT986830.1_00100														OP009387.1_00095	
N27.HOG0000006	OG0000006	n0		AF371960.1_00078																				MK689685.1_00075		MN432490.1_00078					MT926123.1_00079	MT986830.1_00080														OP009387.1_00077	
N27.HOG0000007	OG0000007	n0		AF371960.1_00092																				MK689685.1_00089		MN432490.1_00092					MT926123.1_00093	MT986830.1_00094														OP009387.1_00091	
N27.HOG0000008	OG0000008	n0		AF371960.1_00030																				MK689685.1_00028		MN432490.1_00031					MT926123.1_00031	MT986830.1_00032														OP009387.1_00029	
N27.HOG0000009	OG0000009	n0		AF371960.1_00113																				MK689685.1_00111		MN432490.1_00114					MT926123.1_00113	MT986830.1_00117														OP009387.1_00113	
N27.HOG0000010	OG0000010	n0		AF371960.1_00079																				MK689685.1_00076		MN432490.1_00079					MT926123.1_00080	MT986830.1_00081														OP009387.1_00078	
N27.HOG0000011	OG0000011	n0		AF371960.1_00064																				MK689685.1_00061		MN432490.1_00064					MT926123.1_00065	MT986830.1_00065														OP009387.1_00064	
