HOG	OG	Gene Tree Parent Clade	AF303741.1	AF371960.1	AY521625.1	AY532606.1	AY779031.1	AY894343.1	BD143114.1	GQ273492.1	HF920633.1	HF920637.1	KC244182.1	KF938901.1	KT804738.1	L63545.1	LS484712.1	MF599468.1	MG570131.1	MG570132.1	MK098185.1	MK098186.1	MK098187.1	MK689685.1	MK689686.1	MN432490.1	MN562489.1	MN803438.1	MT521409.1	MT798582.1	MT926123.1	MT986830.1	MW139932.1	NC_005946.1	NC_027778.1	OK042108.1	OK042109.1	OL310752.1	OL774653.1	OL774654.1	OL774655.1	OM037668.1	ON075463.1	ON740976.1	ON743042.1	OP009387.1	OQ475017.1
N43.HOG0000000	OG0000000	n0									HF920633.1_00044			KF938901.1_00126																																	
N43.HOG0000001	OG0000001	n0									HF920633.1_00069			KF938901.1_00080																																	
N43.HOG0000002	OG0000002	n0									HF920633.1_00073			KF938901.1_00044																																	
N43.HOG0000003	OG0000003	n0									HF920633.1_00127			KF938901.1_00005																																	
N43.HOG0000004	OG0000004	n0									HF920633.1_00079			KF938901.1_00043																																	
N43.HOG0000005	OG0000005	n0									HF920633.1_00085			KF938901.1_00125																																	
N43.HOG0000006	OG0000006	n0									HF920633.1_00025			KF938901.1_00072																																	
N43.HOG0000007	OG0000007	n0									HF920633.1_00091			KF938901.1_00053																																	
N43.HOG0000008	OG0000008	n0									HF920633.1_00043			KF938901.1_00067																																	
N43.HOG0000009	OG0000009	n0									HF920633.1_00122			KF938901.1_00114																																	
N43.HOG0000010	OG0000011	n0									HF920633.1_00118			KF938901.1_00092																																	
N43.HOG0000011	OG0000012	n0									HF920633.1_00001			KF938901.1_00054																																	
N43.HOG0000012	OG0000013	n0									HF920633.1_00067			KF938901.1_00060																																	
N43.HOG0000013	OG0000014	n0									HF920633.1_00138			KF938901.1_00074																																	
N43.HOG0000014	OG0000015	n0									HF920633.1_00058			KF938901.1_00095																																	
N43.HOG0000015	OG0000016	n0									HF920633.1_00094			KF938901.1_00046																																	
N43.HOG0000016	OG0000017	n0									HF920633.1_00158			KF938901.1_00123																																	
N43.HOG0000017	OG0000018	n0									HF920633.1_00003			KF938901.1_00025																																	
N43.HOG0000018	OG0000019	n0									HF920633.1_00163			KF938901.1_00012																																	
N43.HOG0000019	OG0000020	n0									HF920633.1_00080			KF938901.1_00047																																	
N43.HOG0000020	OG0000021	n0									HF920633.1_00097			KF938901.1_00124																																	
N43.HOG0000021	OG0000022	n0									HF920633.1_00175			KF938901.1_00023																																	
N43.HOG0000022	OG0000023	n0									HF920633.1_00017			KF938901.1_00031																																	
N43.HOG0000023	OG0000024	n0									HF920633.1_00062			KF938901.1_00094																																	
N43.HOG0000024	OG0000025	n0									HF920633.1_00047			KF938901.1_00093																																	
N43.HOG0000025	OG0000113	n1									HF920633.1_00145			KF938901.1_00104																																	
N43.HOG0000026	OG0000113	n17									HF920633.1_00086																																				
N43.HOG0000027	OG0000119	n0									HF920633.1_00040, HF920633.1_00117, HF920633.1_00143, HF920633.1_00057, HF920633.1_00107, HF920633.1_00172, HF920633.1_00170			KF938901.1_00085, KF938901.1_00140																																	
N43.HOG0000028	OG0000122	n0									HF920633.1_00116																																				
N43.HOG0000029	OG0000123	n7									HF920633.1_00130			KF938901.1_00049																																	
N43.HOG0000030	OG0000123	n8									HF920633.1_00174			KF938901.1_00020																																	
N43.HOG0000031	OG0000123	n9									HF920633.1_00007			KF938901.1_00115, KF938901.1_00091																																	
N43.HOG0000032	OG0000123	n11									HF920633.1_00147																																				
N43.HOG0000033	OG0000126	n0									HF920633.1_00059, HF920633.1_00119, HF920633.1_00081			KF938901.1_00030, KF938901.1_00084, KF938901.1_00158, KF938901.1_00119, KF938901.1_00001, KF938901.1_00151, KF938901.1_00127, KF938901.1_00135																																	
N43.HOG0000034	OG0000133	n0									HF920633.1_00004																																				
N43.HOG0000035	OG0000134	n0									HF920633.1_00135			KF938901.1_00086																																	
N43.HOG0000036	OG0000135	n0									HF920633.1_00064			KF938901.1_00007																																	
N43.HOG0000037	OG0000137	n0									HF920633.1_00132			KF938901.1_00048																																	
N43.HOG0000038	OG0000138	n0									HF920633.1_00053			KF938901.1_00065																																	
N43.HOG0000039	OG0000139	n0									HF920633.1_00156			KF938901.1_00108																																	
N43.HOG0000040	OG0000148	n0									HF920633.1_00026			KF938901.1_00069																																	
N43.HOG0000041	OG0000149	n1									HF920633.1_00014, HF920633.1_00027, HF920633.1_00153, HF920633.1_00092																																				
N43.HOG0000042	OG0000149	n5									HF920633.1_00104																																				
N43.HOG0000043	OG0000152	n0									HF920633.1_00019, HF920633.1_00100, HF920633.1_00099, HF920633.1_00129																																				
N43.HOG0000044	OG0000153	n0									HF920633.1_00088			KF938901.1_00112																																	
N43.HOG0000045	OG0000154	n1									HF920633.1_00096			KF938901.1_00153																																	
N43.HOG0000046	OG0000154	n2									HF920633.1_00114			KF938901.1_00066																																	
N43.HOG0000047	OG0000155	n0									HF920633.1_00036			KF938901.1_00106																																	
N43.HOG0000048	OG0000156	n0									HF920633.1_00106			KF938901.1_00118																																	
N43.HOG0000049	OG0000158	n0									HF920633.1_00024			KF938901.1_00027																																	
N43.HOG0000050	OG0000165	n0									HF920633.1_00030																																				
N43.HOG0000051	OG0000166	n0									HF920633.1_00134			KF938901.1_00102																																	
N43.HOG0000052	OG0000167	n0									HF920633.1_00039			KF938901.1_00075																																	
N43.HOG0000053	OG0000168	n0									HF920633.1_00105			KF938901.1_00117																																	
N43.HOG0000054	OG0000169	n0									HF920633.1_00082			KF938901.1_00103																																	
N43.HOG0000055	OG0000170	n0									HF920633.1_00169			KF938901.1_00128																																	
N43.HOG0000056	OG0000171	n0									HF920633.1_00177			KF938901.1_00121																																	
N43.HOG0000057	OG0000172	n0									HF920633.1_00144			KF938901.1_00101																																	
N43.HOG0000058	OG0000174	n0									HF920633.1_00046			KF938901.1_00150																																	
N43.HOG0000059	OG0000175	n2									HF920633.1_00031			KF938901.1_00105																																	
N43.HOG0000060	OG0000175	n3									HF920633.1_00161			KF938901.1_00006																																	
N43.HOG0000061	OG0000176	n0									HF920633.1_00171			KF938901.1_00017																																	
N43.HOG0000062	OG0000178	n0									HF920633.1_00034			KF938901.1_00009																																	
N43.HOG0000063	OG0000185	n0									HF920633.1_00128			KF938901.1_00116																																	
N43.HOG0000064	OG0000186	n0									HF920633.1_00110			KF938901.1_00133																																	
N43.HOG0000065	OG0000187	n0									HF920633.1_00149			KF938901.1_00141																																	
N43.HOG0000066	OG0000188	n0									HF920633.1_00165			KF938901.1_00014																																	
N43.HOG0000067	OG0000189	n0									HF920633.1_00103			KF938901.1_00100																																	
N43.HOG0000068	OG0000190	n0									HF920633.1_00020, HF920633.1_00021			KF938901.1_00099																																	
N43.HOG0000069	OG0000191	n0									HF920633.1_00032			KF938901.1_00073																																	
N43.HOG0000070	OG0000192	n0									HF920633.1_00022			KF938901.1_00152																																	
N43.HOG0000071	OG0000193	n0									HF920633.1_00131			KF938901.1_00063																																	
N43.HOG0000072	OG0000194	n0									HF920633.1_00120			KF938901.1_00134																																	
N43.HOG0000073	OG0000195	n0									HF920633.1_00146			KF938901.1_00139																																	
N43.HOG0000074	OG0000196	n0									HF920633.1_00056			KF938901.1_00070																																	
N43.HOG0000075	OG0000197	n0									HF920633.1_00123			KF938901.1_00146																																	
N43.HOG0000076	OG0000198	n0									HF920633.1_00050			KF938901.1_00077																																	
N43.HOG0000077	OG0000199	n0									HF920633.1_00098			KF938901.1_00079																																	
N43.HOG0000078	OG0000201	n0									HF920633.1_00035			KF938901.1_00010																																	
N43.HOG0000079	OG0000202	n0									HF920633.1_00029			KF938901.1_00008																																	
N43.HOG0000080	OG0000203	n0									HF920633.1_00121			KF938901.1_00113																																	
N43.HOG0000081	OG0000204	n0									HF920633.1_00125			KF938901.1_00148																																	
N43.HOG0000082	OG0000210	n0									HF920633.1_00139			KF938901.1_00137																																	
