Orthogroup	AF303741.1	MK098186.1
OG0000000	AF303741.1_00079, AF303741.1_00152	MK098186.1_00030
OG0000001	AF303741.1_00200, AF303741.1_00047	MK098186.1_00008
OG0000002	AF303741.1_00125	MK098186.1_00007
OG0000003	AF303741.1_00035	MK098186.1_00015
OG0000004	AF303741.1_00080	MK098186.1_00109
OG0000005	AF303741.1_00129	MK098186.1_00092
OG0000006	AF303741.1_00132	MK098186.1_00073
OG0000007	AF303741.1_00149	MK098186.1_00087
OG0000008	AF303741.1_00165	MK098186.1_00029
OG0000009	AF303741.1_00176	MK098186.1_00111
OG0000011	AF303741.1_00006	MK098186.1_00061
OG0000012	AF303741.1_00011	MK098186.1_00022
OG0000013	AF303741.1_00023	MK098186.1_00055
OG0000014	AF303741.1_00026	MK098186.1_00119
OG0000015	AF303741.1_00046	MK098186.1_00120
OG0000016	AF303741.1_00062	MK098186.1_00084
OG0000017	AF303741.1_00063	MK098186.1_00033
OG0000018	AF303741.1_00081	MK098186.1_00104
OG0000019	AF303741.1_00137	MK098186.1_00083
OG0000020	AF303741.1_00156	MK098186.1_00031
OG0000021	AF303741.1_00158	MK098186.1_00005
OG0000022	AF303741.1_00189	MK098186.1_00035
OG0000023	AF303741.1_00154	MK098186.1_00044
OG0000024	AF303741.1_00168	MK098186.1_00026
OG0000025	AF303741.1_00051	MK098186.1_00062
