Orthogroup	AF303741.1	HF920637.1
OG0000000	AF303741.1_00079	HF920637.1_00129
OG0000000	AF303741.1_00152	HF920637.1_00164
OG0000001	AF303741.1_00200, AF303741.1_00047	HF920637.1_00059
OG0000002	AF303741.1_00125	HF920637.1_00143
OG0000003	AF303741.1_00035	HF920637.1_00159
OG0000004	AF303741.1_00080	HF920637.1_00025
OG0000005	AF303741.1_00129	HF920637.1_00221
OG0000006	AF303741.1_00132	HF920637.1_00121
OG0000007	AF303741.1_00149	HF920637.1_00172
OG0000008	AF303741.1_00165	HF920637.1_00176, HF920637.1_00175
OG0000009	AF303741.1_00176	HF920637.1_00153
OG0000011	AF303741.1_00006	HF920637.1_00217
OG0000012	AF303741.1_00011	HF920637.1_00001
OG0000013	AF303741.1_00023	HF920637.1_00017
OG0000014	AF303741.1_00026	HF920637.1_00108
OG0000015	AF303741.1_00046	HF920637.1_00152
OG0000016	AF303741.1_00062	HF920637.1_00079
OG0000017	AF303741.1_00063	HF920637.1_00073
OG0000018	AF303741.1_00081	HF920637.1_00111
OG0000019	AF303741.1_00137	HF920637.1_00197
OG0000020	AF303741.1_00156	HF920637.1_00031
OG0000021	AF303741.1_00158	HF920637.1_00041
OG0000022	AF303741.1_00189	HF920637.1_00213
OG0000023	AF303741.1_00154	HF920637.1_00033
OG0000024	AF303741.1_00168	HF920637.1_00061
OG0000025	AF303741.1_00051	HF920637.1_00156
OG0000113	AF303741.1_00169	HF920637.1_00148
OG0000113	AF303741.1_00170	HF920637.1_00138
OG0000119	AF303741.1_00173	HF920637.1_00158, HF920637.1_00208, HF920637.1_00130
OG0000119	AF303741.1_00095	HF920637.1_00102
OG0000119	AF303741.1_00007	HF920637.1_00184
OG0000119	AF303741.1_00066	HF920637.1_00034
OG0000122	AF303741.1_00005, AF303741.1_00065	HF920637.1_00183
OG0000123	AF303741.1_00195	HF920637.1_00029
OG0000123	AF303741.1_00178, AF303741.1_00121	HF920637.1_00147, HF920637.1_00218
OG0000133	AF303741.1_00130	HF920637.1_00057
OG0000133	AF303741.1_00089	HF920637.1_00216
