Orthogroup	AF303741.1	AY894343.1
OG0000000	AF303741.1_00079, AF303741.1_00152	AY894343.1_00029
OG0000001	AF303741.1_00200, AF303741.1_00047	AY894343.1_00008
OG0000002	AF303741.1_00125	AY894343.1_00007
OG0000003	AF303741.1_00035	AY894343.1_00015
OG0000004	AF303741.1_00080	AY894343.1_00113
OG0000005	AF303741.1_00129	AY894343.1_00096
OG0000006	AF303741.1_00132	AY894343.1_00076
OG0000007	AF303741.1_00149	AY894343.1_00090
OG0000008	AF303741.1_00165	AY894343.1_00028
OG0000009	AF303741.1_00176	AY894343.1_00115
OG0000011	AF303741.1_00006	AY894343.1_00063
OG0000012	AF303741.1_00011	AY894343.1_00021
OG0000013	AF303741.1_00023	AY894343.1_00056
OG0000014	AF303741.1_00026	AY894343.1_00123
OG0000015	AF303741.1_00046	AY894343.1_00124
OG0000016	AF303741.1_00062	AY894343.1_00087
OG0000017	AF303741.1_00063	AY894343.1_00032
OG0000018	AF303741.1_00081	AY894343.1_00108
OG0000019	AF303741.1_00137	AY894343.1_00086
OG0000020	AF303741.1_00156	AY894343.1_00030
OG0000021	AF303741.1_00158	AY894343.1_00005
OG0000022	AF303741.1_00189	AY894343.1_00034
OG0000023	AF303741.1_00154	AY894343.1_00043
OG0000024	AF303741.1_00168	AY894343.1_00025
OG0000025	AF303741.1_00051	AY894343.1_00064
