Orthogroup	AF303741.1	MN432490.1
OG0000000	AF303741.1_00079, AF303741.1_00152	MN432490.1_00032
OG0000001	AF303741.1_00200, AF303741.1_00047	MN432490.1_00008
OG0000002	AF303741.1_00125	MN432490.1_00007
OG0000003	AF303741.1_00035	MN432490.1_00015
OG0000004	AF303741.1_00080	MN432490.1_00113
OG0000005	AF303741.1_00129	MN432490.1_00097
OG0000006	AF303741.1_00132	MN432490.1_00078
OG0000007	AF303741.1_00149	MN432490.1_00092
OG0000008	AF303741.1_00165	MN432490.1_00031
OG0000009	AF303741.1_00176	MN432490.1_00114
OG0000011	AF303741.1_00006	MN432490.1_00064
OG0000012	AF303741.1_00011	MN432490.1_00023
OG0000013	AF303741.1_00023	MN432490.1_00058
OG0000014	AF303741.1_00026	MN432490.1_00122
OG0000015	AF303741.1_00046	MN432490.1_00123
OG0000016	AF303741.1_00062	MN432490.1_00089
OG0000017	AF303741.1_00063	MN432490.1_00035
OG0000018	AF303741.1_00081	MN432490.1_00108
OG0000019	AF303741.1_00137	MN432490.1_00088
OG0000020	AF303741.1_00156	MN432490.1_00033
OG0000021	AF303741.1_00158	MN432490.1_00005
OG0000022	AF303741.1_00189	MN432490.1_00037
OG0000023	AF303741.1_00154	MN432490.1_00046
OG0000024	AF303741.1_00168	MN432490.1_00028
OG0000025	AF303741.1_00051	MN432490.1_00065
