Orthogroup	AF303741.1	MT521409.1
OG0000000	AF303741.1_00079, AF303741.1_00152	MT521409.1_00103
OG0000001	AF303741.1_00200, AF303741.1_00047	MT521409.1_00082
OG0000002	AF303741.1_00125	MT521409.1_00081
OG0000003	AF303741.1_00035	MT521409.1_00088
OG0000004	AF303741.1_00080	MT521409.1_00061
OG0000005	AF303741.1_00129	MT521409.1_00057
OG0000006	AF303741.1_00132	MT521409.1_00117
OG0000007	AF303741.1_00149	MT521409.1_00053
OG0000008	AF303741.1_00165	MT521409.1_00100
OG0000009	AF303741.1_00176	MT521409.1_00060
OG0000011	AF303741.1_00006	MT521409.1_00129
OG0000012	AF303741.1_00011	MT521409.1_00097
OG0000013	AF303741.1_00023	MT521409.1_00039
OG0000014	AF303741.1_00026	MT521409.1_00059
OG0000015	AF303741.1_00046	MT521409.1_00134
OG0000016	AF303741.1_00062	MT521409.1_00048
OG0000017	AF303741.1_00063	MT521409.1_00011
OG0000018	AF303741.1_00081	MT521409.1_00064
OG0000019	AF303741.1_00137	MT521409.1_00047
OG0000020	AF303741.1_00156	MT521409.1_00012
OG0000021	AF303741.1_00158	MT521409.1_00125
OG0000022	AF303741.1_00189	MT521409.1_00008
OG0000023	AF303741.1_00154	MT521409.1_00024
OG0000024	AF303741.1_00168	MT521409.1_00074
OG0000025	AF303741.1_00051	MT521409.1_00114
OG0000139	AF303741.1_00101	MT521409.1_00070
OG0000164	AF303741.1_00009	MT521409.1_00116
OG0000173	AF303741.1_00117	MT521409.1_00115
