Orthogroup	AF303741.1	NC_027778.1
OG0000000	AF303741.1_00079, AF303741.1_00152	NC_027778.1_00083
OG0000001	AF303741.1_00200, AF303741.1_00047	NC_027778.1_00062
OG0000002	AF303741.1_00125	NC_027778.1_00061
OG0000003	AF303741.1_00035	NC_027778.1_00068
OG0000004	AF303741.1_00080	NC_027778.1_00040
OG0000005	AF303741.1_00129	NC_027778.1_00036
OG0000006	AF303741.1_00132	NC_027778.1_00098
OG0000007	AF303741.1_00149	NC_027778.1_00032
OG0000008	AF303741.1_00165	NC_027778.1_00080
OG0000009	AF303741.1_00176	NC_027778.1_00039
OG0000011	AF303741.1_00006	NC_027778.1_00111
OG0000012	AF303741.1_00011	NC_027778.1_00077
OG0000013	AF303741.1_00023	NC_027778.1_00018
OG0000014	AF303741.1_00026	NC_027778.1_00038
OG0000015	AF303741.1_00046	NC_027778.1_00116
OG0000016	AF303741.1_00062	NC_027778.1_00027
OG0000017	AF303741.1_00063	NC_027778.1_00132
OG0000018	AF303741.1_00081	NC_027778.1_00043
OG0000019	AF303741.1_00137	NC_027778.1_00026
OG0000020	AF303741.1_00156	NC_027778.1_00133
OG0000021	AF303741.1_00158	NC_027778.1_00106
OG0000022	AF303741.1_00189	NC_027778.1_00129
OG0000023	AF303741.1_00154	NC_027778.1_00003
OG0000024	AF303741.1_00168	NC_027778.1_00054
OG0000025	AF303741.1_00051	NC_027778.1_00094, NC_027778.1_00095
OG0000139	AF303741.1_00101	NC_027778.1_00049
OG0000164	AF303741.1_00009	NC_027778.1_00097
OG0000173	AF303741.1_00117	NC_027778.1_00096
