Orthogroup	AF303741.1	AY532606.1
OG0000000	AF303741.1_00079, AF303741.1_00152	AY532606.1_00030
OG0000001	AF303741.1_00200, AF303741.1_00047	AY532606.1_00007
OG0000002	AF303741.1_00125	AY532606.1_00006
OG0000003	AF303741.1_00035	AY532606.1_00014
OG0000004	AF303741.1_00080	AY532606.1_00116, AY532606.1_00117
OG0000005	AF303741.1_00129	AY532606.1_00099, AY532606.1_00098
OG0000006	AF303741.1_00132	AY532606.1_00078
OG0000007	AF303741.1_00149	AY532606.1_00093
OG0000008	AF303741.1_00165	AY532606.1_00029
OG0000009	AF303741.1_00176	AY532606.1_00120, AY532606.1_00119
OG0000011	AF303741.1_00006	AY532606.1_00064
OG0000012	AF303741.1_00011	AY532606.1_00020
OG0000013	AF303741.1_00023	AY532606.1_00057
OG0000014	AF303741.1_00026	AY532606.1_00125
OG0000015	AF303741.1_00046	AY532606.1_00126
OG0000016	AF303741.1_00062	AY532606.1_00089
OG0000017	AF303741.1_00063	AY532606.1_00033
OG0000018	AF303741.1_00081	AY532606.1_00111
OG0000019	AF303741.1_00137	AY532606.1_00088
OG0000020	AF303741.1_00156	AY532606.1_00031
OG0000021	AF303741.1_00158	AY532606.1_00004
OG0000022	AF303741.1_00189	AY532606.1_00035
OG0000024	AF303741.1_00168	AY532606.1_00026
OG0000025	AF303741.1_00051	AY532606.1_00066, AY532606.1_00065
