Orthogroup	AF303741.1	OL774655.1
OG0000000	AF303741.1_00079, AF303741.1_00152	OL774655.1_00034
OG0000001	AF303741.1_00200, AF303741.1_00047	OL774655.1_00008
OG0000002	AF303741.1_00125	OL774655.1_00007
OG0000003	AF303741.1_00035	OL774655.1_00015
OG0000004	AF303741.1_00080	OL774655.1_00113
OG0000005	AF303741.1_00129	OL774655.1_00096
OG0000006	AF303741.1_00132	OL774655.1_00078
OG0000007	AF303741.1_00149	OL774655.1_00091
OG0000008	AF303741.1_00165	OL774655.1_00033
OG0000009	AF303741.1_00176	OL774655.1_00115
OG0000011	AF303741.1_00006	OL774655.1_00066
OG0000012	AF303741.1_00011	OL774655.1_00022
OG0000013	AF303741.1_00023	OL774655.1_00060
OG0000014	AF303741.1_00026	OL774655.1_00123
OG0000015	AF303741.1_00046	OL774655.1_00124
OG0000016	AF303741.1_00062	OL774655.1_00088
OG0000017	AF303741.1_00063	OL774655.1_00037
OG0000018	AF303741.1_00081	OL774655.1_00108
OG0000019	AF303741.1_00137	OL774655.1_00087
OG0000020	AF303741.1_00156	OL774655.1_00035
OG0000021	AF303741.1_00158	OL774655.1_00005
OG0000022	AF303741.1_00189	OL774655.1_00039
OG0000023	AF303741.1_00154	OL774655.1_00048
OG0000024	AF303741.1_00168	OL774655.1_00030
OG0000025	AF303741.1_00051	OL774655.1_00067
