Orthogroup	AF303741.1	MT798582.1
OG0000000	AF303741.1_00079, AF303741.1_00152	MT798582.1_00076
OG0000001	AF303741.1_00200, AF303741.1_00047	MT798582.1_00018
OG0000002	AF303741.1_00125	MT798582.1_00019
OG0000003	AF303741.1_00035	MT798582.1_00012
OG0000004	AF303741.1_00080	MT798582.1_00037
OG0000005	AF303741.1_00129	MT798582.1_00111
OG0000006	AF303741.1_00132	MT798582.1_00088
OG0000007	AF303741.1_00149	MT798582.1_00116
OG0000008	AF303741.1_00165	MT798582.1_00077
OG0000009	AF303741.1_00176	MT798582.1_00036
OG0000011	AF303741.1_00006	MT798582.1_00100
OG0000012	AF303741.1_00011	MT798582.1_00004
OG0000013	AF303741.1_00023	MT798582.1_00049
OG0000014	AF303741.1_00026	MT798582.1_00028
OG0000015	AF303741.1_00046	MT798582.1_00027
OG0000016	AF303741.1_00062	MT798582.1_00119
OG0000017	AF303741.1_00063	MT798582.1_00073
OG0000018	AF303741.1_00081	MT798582.1_00042
OG0000019	AF303741.1_00137	MT798582.1_00120
OG0000020	AF303741.1_00156	MT798582.1_00075
OG0000021	AF303741.1_00158	MT798582.1_00021
OG0000022	AF303741.1_00189	MT798582.1_00071
OG0000023	AF303741.1_00154	MT798582.1_00062
OG0000024	AF303741.1_00168	MT798582.1_00080
OG0000025	AF303741.1_00051	MT798582.1_00099
