Orthogroup	ON075463.1	LS484712.1
OG0000000	ON075463.1_00029	LS484712.1_00114
OG0000001	ON075463.1_00007	LS484712.1_00142
OG0000003	ON075463.1_00008	LS484712.1_00095
OG0000004	ON075463.1_00014	LS484712.1_00187
OG0000005	ON075463.1_00028	LS484712.1_00248
OG0000006	ON075463.1_00073	LS484712.1_00040
OG0000007	ON075463.1_00087	LS484712.1_00234, LS484712.1_00050
OG0000009	ON075463.1_00111	LS484712.1_00130
OG0000010	ON075463.1_00005	LS484712.1_00096
OG0000011	ON075463.1_00021	LS484712.1_00200
OG0000012	ON075463.1_00030	LS484712.1_00188
OG0000013	ON075463.1_00032	LS484712.1_00240
OG0000014	ON075463.1_00034	LS484712.1_00194
OG0000015	ON075463.1_00055	LS484712.1_00143
OG0000016	ON075463.1_00061	LS484712.1_00203
OG0000017	ON075463.1_00083	LS484712.1_00192
OG0000018	ON075463.1_00084	LS484712.1_00048
OG0000019	ON075463.1_00104	LS484712.1_00053
OG0000020	ON075463.1_00118	LS484712.1_00202
OG0000021	ON075463.1_00119	LS484712.1_00135
OG0000022	ON075463.1_00043	LS484712.1_00117
OG0000068	ON075463.1_00065	LS484712.1_00002
