Orthogroup	ON075463.1	OL774653.1
OG0000000	ON075463.1_00029	OL774653.1_00051
OG0000001	ON075463.1_00007	OL774653.1_00025
OG0000002	ON075463.1_00074	OL774653.1_00095
OG0000003	ON075463.1_00008	OL774653.1_00026
OG0000004	ON075463.1_00014	OL774653.1_00032
OG0000005	ON075463.1_00028	OL774653.1_00050
OG0000006	ON075463.1_00073	OL774653.1_00094
OG0000007	ON075463.1_00087	OL774653.1_00108
OG0000008	ON075463.1_00109	OL774653.1_00006
OG0000009	ON075463.1_00111	OL774653.1_00008
OG0000010	ON075463.1_00005	OL774653.1_00023
OG0000011	ON075463.1_00021	OL774653.1_00039
OG0000012	ON075463.1_00030	OL774653.1_00052
OG0000013	ON075463.1_00032	OL774653.1_00054
OG0000014	ON075463.1_00034	OL774653.1_00056
OG0000015	ON075463.1_00055	OL774653.1_00076
OG0000016	ON075463.1_00061	OL774653.1_00082
OG0000017	ON075463.1_00083	OL774653.1_00104
OG0000018	ON075463.1_00084	OL774653.1_00105
OG0000019	ON075463.1_00104	OL774653.1_00001
OG0000020	ON075463.1_00118	OL774653.1_00016
OG0000021	ON075463.1_00119	OL774653.1_00017
OG0000022	ON075463.1_00043	OL774653.1_00065
OG0000023	ON075463.1_00092	OL774653.1_00114
OG0000024	ON075463.1_00107	OL774653.1_00004
OG0000025	ON075463.1_00062	OL774653.1_00083
OG0000026	ON075463.1_00085	OL774653.1_00106
OG0000027	ON075463.1_00046	OL774653.1_00068
OG0000028	ON075463.1_00006	OL774653.1_00024
OG0000029	ON075463.1_00059	OL774653.1_00080
OG0000030	ON075463.1_00001	OL774653.1_00019
OG0000032	ON075463.1_00086	OL774653.1_00107
OG0000033	ON075463.1_00120	OL774653.1_00018
OG0000034	ON075463.1_00012	OL774653.1_00030
OG0000035	ON075463.1_00013	OL774653.1_00031
OG0000036	ON075463.1_00018	OL774653.1_00036
OG0000037	ON075463.1_00019	OL774653.1_00037
OG0000038	ON075463.1_00022	OL774653.1_00040
OG0000039	ON075463.1_00023	OL774653.1_00041
OG0000040	ON075463.1_00031	OL774653.1_00053
OG0000041	ON075463.1_00035	OL774653.1_00057
OG0000042	ON075463.1_00047	OL774653.1_00069
OG0000043	ON075463.1_00048	OL774653.1_00070
OG0000044	ON075463.1_00053	OL774653.1_00074
OG0000045	ON075463.1_00054	OL774653.1_00075
OG0000046	ON075463.1_00056	OL774653.1_00077
OG0000047	ON075463.1_00057	OL774653.1_00078
OG0000048	ON075463.1_00058	OL774653.1_00079
OG0000049	ON075463.1_00075	OL774653.1_00096
OG0000050	ON075463.1_00079	OL774653.1_00100
OG0000051	ON075463.1_00080	OL774653.1_00101
OG0000052	ON075463.1_00091	OL774653.1_00113
OG0000053	ON075463.1_00093	OL774653.1_00115
OG0000054	ON075463.1_00096	OL774653.1_00118
OG0000055	ON075463.1_00108	OL774653.1_00005
OG0000056	ON075463.1_00113	OL774653.1_00010
OG0000057	ON075463.1_00115	OL774653.1_00012
OG0000058	ON075463.1_00002	OL774653.1_00020
OG0000059	ON075463.1_00010	OL774653.1_00028
OG0000060	ON075463.1_00017	OL774653.1_00035
OG0000061	ON075463.1_00088	OL774653.1_00109
OG0000062	ON075463.1_00025	OL774653.1_00047
OG0000063	ON075463.1_00070	OL774653.1_00091
OG0000064	ON075463.1_00016	OL774653.1_00034
OG0000065	ON075463.1_00037	OL774653.1_00059
OG0000066	ON075463.1_00041	OL774653.1_00063
OG0000067	ON075463.1_00045	OL774653.1_00067
OG0000068	ON075463.1_00065	OL774653.1_00086
OG0000069	ON075463.1_00095	OL774653.1_00117
OG0000070	ON075463.1_00097	OL774653.1_00119
OG0000071	ON075463.1_00112	OL774653.1_00009
OG0000072	ON075463.1_00009	OL774653.1_00027
OG0000073	ON075463.1_00011	OL774653.1_00029
OG0000074	ON075463.1_00015	OL774653.1_00033
OG0000075	ON075463.1_00033	OL774653.1_00055
OG0000076	ON075463.1_00036	OL774653.1_00058
OG0000077	ON075463.1_00039	OL774653.1_00061
OG0000078	ON075463.1_00040	OL774653.1_00062
OG0000079	ON075463.1_00044	OL774653.1_00066
OG0000080	ON075463.1_00049	OL774653.1_00071
OG0000081	ON075463.1_00050	OL774653.1_00072
OG0000082	ON075463.1_00051	OL774653.1_00073
OG0000083	ON075463.1_00060	OL774653.1_00081
OG0000084	ON075463.1_00063	OL774653.1_00084
OG0000085	ON075463.1_00066	OL774653.1_00087
OG0000086	ON075463.1_00067	OL774653.1_00088
OG0000087	ON075463.1_00071	OL774653.1_00092
OG0000088	ON075463.1_00072	OL774653.1_00093
OG0000089	ON075463.1_00081	OL774653.1_00102
OG0000090	ON075463.1_00082	OL774653.1_00103
OG0000091	ON075463.1_00094	OL774653.1_00116
OG0000092	ON075463.1_00098	OL774653.1_00120
OG0000093	ON075463.1_00102	OL774653.1_00124
OG0000094	ON075463.1_00105	OL774653.1_00002
OG0000095	ON075463.1_00106	OL774653.1_00003
OG0000097	ON075463.1_00003	OL774653.1_00021
OG0000098	ON075463.1_00004	OL774653.1_00022
OG0000099	ON075463.1_00038	OL774653.1_00060
OG0000100	ON075463.1_00042	OL774653.1_00064
OG0000101	ON075463.1_00068	OL774653.1_00089
OG0000102	ON075463.1_00076	OL774653.1_00097
OG0000103	ON075463.1_00099	OL774653.1_00121
OG0000105	ON075463.1_00114	OL774653.1_00011
OG0000106	ON075463.1_00027	OL774653.1_00049
OG0000107	ON075463.1_00100	OL774653.1_00122
OG0000108	ON075463.1_00117	OL774653.1_00015
OG0000109	ON075463.1_00069	OL774653.1_00090
OG0000110	ON075463.1_00116	OL774653.1_00013
OG0000111	ON075463.1_00090	OL774653.1_00112
OG0000112	ON075463.1_00077	OL774653.1_00098
OG0000116	ON075463.1_00064	OL774653.1_00085
OG0000118	ON075463.1_00101	OL774653.1_00123
OG0000119	ON075463.1_00110	OL774653.1_00007
OG0000131	ON075463.1_00089	OL774653.1_00110
