Orthogroup	ON075463.1	GQ273492.1
OG0000000	ON075463.1_00029	GQ273492.1_00030
OG0000001	ON075463.1_00007	GQ273492.1_00007
OG0000002	ON075463.1_00074	GQ273492.1_00074
OG0000003	ON075463.1_00008	GQ273492.1_00008
OG0000004	ON075463.1_00014	GQ273492.1_00015
OG0000005	ON075463.1_00028	GQ273492.1_00029
OG0000006	ON075463.1_00073	GQ273492.1_00073
OG0000007	ON075463.1_00087	GQ273492.1_00087
OG0000008	ON075463.1_00109	GQ273492.1_00108
OG0000009	ON075463.1_00111	GQ273492.1_00110
OG0000010	ON075463.1_00005	GQ273492.1_00005
OG0000011	ON075463.1_00021	GQ273492.1_00022
OG0000012	ON075463.1_00030	GQ273492.1_00031
OG0000013	ON075463.1_00032	GQ273492.1_00033
OG0000014	ON075463.1_00034	GQ273492.1_00035
OG0000015	ON075463.1_00055	GQ273492.1_00056
OG0000016	ON075463.1_00061	GQ273492.1_00063
OG0000017	ON075463.1_00083	GQ273492.1_00083
OG0000018	ON075463.1_00084	GQ273492.1_00084
OG0000019	ON075463.1_00104	GQ273492.1_00103
OG0000020	ON075463.1_00118	GQ273492.1_00118
OG0000021	ON075463.1_00119	GQ273492.1_00119
OG0000022	ON075463.1_00043	GQ273492.1_00044
OG0000023	ON075463.1_00092	GQ273492.1_00092
OG0000024	ON075463.1_00107	GQ273492.1_00106
OG0000025	ON075463.1_00062	GQ273492.1_00064
OG0000026	ON075463.1_00085	GQ273492.1_00085
OG0000027	ON075463.1_00046	GQ273492.1_00047
OG0000028	ON075463.1_00006	GQ273492.1_00006
OG0000029	ON075463.1_00059	GQ273492.1_00061
OG0000030	ON075463.1_00001	GQ273492.1_00001
OG0000032	ON075463.1_00086	GQ273492.1_00086
OG0000033	ON075463.1_00120	GQ273492.1_00120
OG0000034	ON075463.1_00012	GQ273492.1_00013
OG0000035	ON075463.1_00013	GQ273492.1_00014
OG0000036	ON075463.1_00018	GQ273492.1_00019
OG0000037	ON075463.1_00019	GQ273492.1_00020
OG0000038	ON075463.1_00022	GQ273492.1_00023
OG0000039	ON075463.1_00023	GQ273492.1_00024
OG0000040	ON075463.1_00031	GQ273492.1_00032
OG0000041	ON075463.1_00035	GQ273492.1_00036
OG0000042	ON075463.1_00047	GQ273492.1_00048
OG0000043	ON075463.1_00048	GQ273492.1_00049
OG0000044	ON075463.1_00053	GQ273492.1_00054
OG0000045	ON075463.1_00054	GQ273492.1_00055
OG0000046	ON075463.1_00056	GQ273492.1_00057
OG0000047	ON075463.1_00057	GQ273492.1_00059
