Orthogroup	HF920637	LS484712
OG0000000	HF920637.1_00129_DNA_polymerase_1 HF920637.1 - DNA_polymerase_1, HF920637.1_00164_DNA_polymerase_2 HF920637.1 - DNA_polymerase_2	LS484712.1_00114 hypothetical protein
OG0000001	HF920637.1_00059 HF920637.1 - hypothetical protein translation	LS484712.1_00095 hypothetical protein
OG0000002	HF920637.1_00159 HF920637.1 - hypothetical protein translation	LS484712.1_00187 hypothetical protein
OG0000003	HF920637.1 00176 HF920637.1 - hypothetical protein translation, HF920637.1_00175 HF920637.1 - hypothetical protein translation	LS484712.1_00248 hypothetical protein
OG0000004	HF920637.1_00015 HF920637.1 - hypothetical protein translation, HF920637.1_00153 HF920637.1 - hypothetical protein translation	LS484712.1_00130 hypothetical protein
OG0000005	HF920637.1_00041 HF920637.1 - hypothetical protein translation	LS484712.1_00096 hypothetical protein
OG0000006	HF920637.1_00143 HF920637.1 - Major capsid protein translation	LS484712.1_00142 Major capsid protein
OG0000007	HF920637.1_00001 HF920637.1 - hypothetical protein translation	LS484712.1_00200 hypothetical protein
OG0000008	HF920637.1_00031 HF920637.1 - hypothetical protein translation	LS484712.1_00188 hypothetical protein
OG0000009	HF920637.1_00073 HF920637.1 - hypothetical protein translation	LS484712.1_00240 hypothetical protein
OG0000010	HF920637.1_00213 HF920637.1 - DNA-directed RNA polymerase subunit 2 translation	LS484712.1_00194 DNA-directed RNA polymerase subunit 2
OG0000011	HF920637.1_00017 HF920637.1 - hypothetical protein translation	LS484712.1_00143 hypothetical protein
OG0000012	HF920637.1_00217 HF920637.1 - hypothetical protein translation	LS484712.1_00203 hypothetical protein
OG0000013	HF920637.1_00197 HF920637.1 - hypothetical protein translation	LS484712.1_00192 hypothetical protein
OG0000014	HF920637.1_00172 HF920637.1 - hypothetical protein translation	LS484712.1_00050 hypothetical protein
OG0000015	HF920637.1_00111 HF920637.1 - hypothetical protein translation	LS484712.1_00053 hypothetical protein
OG0000016	HF920637.1_00108 HF920637.1 - hypothetical protein translation	LS484712.1_00202 hypothetical protein
OG0000017	HF920637.1_00152 HF920637.1 - hypothetical protein translation	LS484712.1_00135 hypothetical protein
OG0000018	HF920637.1_00061 HF920637.1 - Ribonucleoside-diphosphate reductase small chain translation	LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain
OG0000019	HF920637.1_00121 HF920637.1 - hypothetical protein translation	LS484712.1_00040 hypothetical protein
OG0000023	HF920637.1_00033 HF920637.1 - FAD-linked sulfhydryl oxidase translation	LS484712.1_00117 hypothetical protein
OG0000127	HF920637.1_00198 HF920637.1 - hypothetical protein translation, HF920637.1_00147 HF920637.1 - hypothetical protein translation, HF920637.1_00218 HF920637.1 - hypothetical protein translation, HF920637.1_00029 HF920637.1 - hypothetical protein translation	LS484712.1_00198 hypothetical protein
OG0000132	HF920637.1_00219 HF920637.1 - hypothetical protein translation	LS484712.1_00057 hypothetical protein
OG0000134	HF920637.1_00105 HF920637.1 - Ribonucleoside-diphosphate reductase large subunit translation	LS484712.1_00251 Ribonucleoside-diphosphate reductase large subunit
OG0000135	HF920637.1_00181 HF920637.1 - hypothetical protein translation	LS484712.1_00063 hypothetical protein
OG0000140	HF920637.1_00060 HF920637.1 - putative helicase D10 translation	LS484712.1_00133 hypothetical protein
OG0000141	HF920637.1_00014 HF920637.1 - hypothetical protein translation	LS484712.1_00197 hypothetical protein
OG0000147	HF920637.1_00011 HF920637.1 - hypothetical protein translation, HF920637.1_00180 HF920637.1 - hypothetical protein translation	LS484712.1_00211 hypothetical protein
OG0000159	HF920637.1_00056 HF920637.1 - hypothetical protein translation	LS484712.1_00116 hypothetical protein
OG0000160	HF920637.1_00140 HF920637.1 - hypothetical protein translation	LS484712.1_00113 hypothetical protein
OG0000161	HF920637.1_00095 HF920637.1 - hypothetical protein translation	LS484712.1_00140 hypothetical protein
OG0000162	HF920637.1_00049 HF920637.1 - hypothetical protein translation	LS484712.1_00195 hypothetical protein
OG0000163	HF920637.1_00120 HF920637.1 - DNA ligase translation	LS484712.1_00212 hypothetical protein
OG0000164	HF920637.1_00045 HF920637.1 - hypothetical protein translation	LS484712.1_00112 hypothetical protein
OG0000167	HF920637.1_00067 HF920637.1 - hypothetical protein translation	LS484712.1_00184 hypothetical protein
OG0000185	HF920637.1_00019 HF920637.1 - hypothetical protein translation	LS484712.1_00196 hypothetical protein
OG0000187	HF920637.1_00043 HF920637.1 - hypothetical protein translation	LS484712.1_00224 hypothetical protein
OG0000190	HF920637.1_00070 HF920637.1 - hypothetical protein translation	LS484712.1_00060 hypothetical protein
OG0000193	HF920637.1_00035 HF920637.1 - hypothetical protein translation	LS484712.1_00163 hypothetical protein
OG0000194	HF920637.1_00009 HF920637.1 - hypothetical protein translation	LS484712.1_00120 hypothetical protein
OG0000195	HF920637.1_00149 HF920637.1 - hypothetical protein translation	LS484712.1_00106 hypothetical protein
OG0000202	HF920637.1_00215 HF920637.1 - hypothetical protein translation	LS484712.1_00052 hypothetical protein
OG0000393	HF920637.1_00113 HF920637.1 - hypothetical protein translation	LS484712.1_00006 hypothetical protein
