Orthogroup	HF920637	KF938901
OG0000000	HF920637.1_00129_DNA_polymerase_1 HF920637.1 - DNA_polymerase_1, HF920637.1_00164_DNA_polymerase_2 HF920637.1 - DNA_polymerase_2	KF938901.1_00126 DNA-directed RNA polymerase subunit 1
OG0000001	HF920637.1_00059 HF920637.1 - hypothetical protein translation	KF938901.1_00080 hypothetical protein
OG0000002	HF920637.1_00159 HF920637.1 - hypothetical protein translation	KF938901.1_00005 hypothetical protein
OG0000003	HF920637.1 00176 HF920637.1 - hypothetical protein translation, HF920637.1_00175 HF920637.1 - hypothetical protein translation	KF938901.1_00067 hypothetical protein
OG0000004	HF920637.1_00015 HF920637.1 - hypothetical protein translation, HF920637.1_00153 HF920637.1 - hypothetical protein translation	KF938901.1_00114 hypothetical protein
OG0000005	HF920637.1_00041 HF920637.1 - hypothetical protein translation	KF938901.1_00124 hypothetical protein
OG0000006	HF920637.1_00143 HF920637.1 - Major capsid protein translation	KF938901.1_00044 Major capsid protein
OG0000007	HF920637.1_00001 HF920637.1 - hypothetical protein translation	KF938901.1_00054 hypothetical protein
OG0000008	HF920637.1_00031 HF920637.1 - hypothetical protein translation	KF938901.1_00047 hypothetical protein
OG0000009	HF920637.1_00073 HF920637.1 - hypothetical protein translation	KF938901.1_00123 hypothetical protein
OG0000010	HF920637.1_00213 HF920637.1 - DNA-directed RNA polymerase subunit 2 translation	KF938901.1_00022 DNA-directed RNA polymerase subunit 2, KF938901.1_00023 DNA-directed RNA polymerase subunit 2
OG0000011	HF920637.1_00017 HF920637.1 - hypothetical protein translation	KF938901.1_00060 hypothetical protein
OG0000012	HF920637.1_00217 HF920637.1 - hypothetical protein translation	KF938901.1_00092 hypothetical protein
OG0000013	HF920637.1_00197 HF920637.1 - hypothetical protein translation	KF938901.1_00012 hypothetical protein
OG0000014	HF920637.1_00172 HF920637.1 - hypothetical protein translation	KF938901.1_00053 hypothetical protein
OG0000015	HF920637.1_00111 HF920637.1 - hypothetical protein translation	KF938901.1_00025 hypothetical protein
OG0000016	HF920637.1_00108 HF920637.1 - hypothetical protein translation	KF938901.1_00074 hypothetical protein
OG0000017	HF920637.1_00152 HF920637.1 - hypothetical protein translation	KF938901.1_00095 hypothetical protein
OG0000018	HF920637.1_00061 HF920637.1 - Ribonucleoside-diphosphate reductase small chain translation	KF938901.1_00094 Ribonucleoside-diphosphate reductase small chain
OG0000019	HF920637.1_00121 HF920637.1 - hypothetical protein translation	KF938901.1_00072 hypothetical protein
OG0000020	HF920637.1_00079 HF920637.1 - hypothetical protein translation	KF938901.1_00046 hypothetical protein
OG0000021	HF920637.1_00221 HF920637.1 - hypothetical protein translation	KF938901.1_00125 hypothetical protein
OG0000022	HF920637.1_00025 HF920637.1 - hypothetical protein translation	KF938901.1_00043 hypothetical protein
OG0000025	HF920637.1_00156 HF920637.1 - hypothetical protein translation	KF938901.1_00093 hypothetical protein
OG0000121	HF920637.1_00096 HF920637.1 - hypothetical protein translation	KF938901.1_00085 hypothetical protein, KF938901.1_00140 hypothetical protein
OG0000127	HF920637.1_00147 HF920637.1 - hypothetical protein translation, HF920637.1_00218 HF920637.1 - hypothetical protein translation, HF920637.1_00029 HF920637.1 - hypothetical protein translation	KF938901.1_00020 hypothetical protein, KF938901.1_00049 hypothetical protein, KF938901.1_00115 hypothetical protein, KF938901.1_00091 hypothetical protein
OG0000132	HF920637.1_00219 HF920637.1 - hypothetical protein translation	KF938901.1_00086 hypothetical protein
OG0000134	HF920637.1_00105 HF920637.1 - Ribonucleoside-diphosphate reductase large subunit translation	KF938901.1_00048 Ribonucleoside-diphosphate reductase large subunit
OG0000135	HF920637.1_00181 HF920637.1 - hypothetical protein translation	KF938901.1_00065 hypothetical protein
OG0000136	HF920637.1_00123 HF920637.1 - Thymidylate synthase translation	KF938901.1_00108 Thymidylate synthase
OG0000140	HF920637.1_00060 HF920637.1 - putative helicase D10 translation	KF938901.1_00069 hypothetical protein
OG0000141	HF920637.1_00014 HF920637.1 - hypothetical protein translation	KF938901.1_00007 hypothetical protein
OG0000147	HF920637.1_00011 HF920637.1 - hypothetical protein translation, HF920637.1_00180 HF920637.1 - hypothetical protein translation	KF938901.1_00112 hypothetical protein
OG0000148	HF920637.1_00168 HF920637.1 - hypothetical protein translation	KF938901.1_00106 hypothetical protein
OG0000149	HF920637.1_00150 HF920637.1 - hypothetical protein translation	KF938901.1_00118 Deoxyuridine
