Orthogroup	MK689686.1	NC_027778.1
OG0000000	MK689686.1_00029	NC_027778.1_00083
OG0000001	MK689686.1_00008	NC_027778.1_00062
OG0000002	MK689686.1_00007	NC_027778.1_00061
OG0000003	MK689686.1_00014	NC_027778.1_00068
OG0000004	MK689686.1_00110	NC_027778.1_00040
OG0000005	MK689686.1_00093	NC_027778.1_00036
OG0000006	MK689686.1_00074	NC_027778.1_00098
OG0000007	MK689686.1_00088	NC_027778.1_00032
OG0000008	MK689686.1_00028	NC_027778.1_00080
OG0000009	MK689686.1_00112	NC_027778.1_00039
OG0000010	MK689686.1_00075	NC_027778.1_00123, NC_027778.1_00122, NC_027778.1_00131, NC_027778.1_00114, NC_027778.1_00120
OG0000011	MK689686.1_00062	NC_027778.1_00111
OG0000012	MK689686.1_00021	NC_027778.1_00077
OG0000013	MK689686.1_00056	NC_027778.1_00018
OG0000014	MK689686.1_00120	NC_027778.1_00038
OG0000015	MK689686.1_00121	NC_027778.1_00116
OG0000016	MK689686.1_00085	NC_027778.1_00027
OG0000017	MK689686.1_00032	NC_027778.1_00132
OG0000018	MK689686.1_00105	NC_027778.1_00043
OG0000019	MK689686.1_00084	NC_027778.1_00026
OG0000020	MK689686.1_00030	NC_027778.1_00133
OG0000021	MK689686.1_00005	NC_027778.1_00106
OG0000022	MK689686.1_00034	NC_027778.1_00129
OG0000023	MK689686.1_00043	NC_027778.1_00003
OG0000024	MK689686.1_00025	NC_027778.1_00054
OG0000025	MK689686.1_00063	NC_027778.1_00094, NC_027778.1_00095
OG0000026	MK689686.1_00108	NC_027778.1_00042
OG0000027	MK689686.1_00086	NC_027778.1_00029
OG0000028	MK689686.1_00046	NC_027778.1_00006
OG0000029	MK689686.1_00060	NC_027778.1_00021
OG0000030	MK689686.1_00001	NC_027778.1_00088
OG0000031	MK689686.1_00006	NC_027778.1_00108
OG0000032	MK689686.1_00079	NC_027778.1_00100
OG0000033	MK689686.1_00087	NC_027778.1_00030
OG0000034	MK689686.1_00122	NC_027778.1_00090
OG0000035	MK689686.1_00012	NC_027778.1_00067
OG0000036	MK689686.1_00013	NC_027778.1_00115
OG0000037	MK689686.1_00018	NC_027778.1_00072
OG0000038	MK689686.1_00019	NC_027778.1_00073
OG0000039	MK689686.1_00022	NC_027778.1_00078
OG0000040	MK689686.1_00023	NC_027778.1_00070
OG0000041	MK689686.1_00031	NC_027778.1_00117
OG0000042	MK689686.1_00035	NC_027778.1_00134
OG0000043	MK689686.1_00048	NC_027778.1_00010
OG0000044	MK689686.1_00049	NC_027778.1_00011
OG0000045	MK689686.1_00054	NC_027778.1_00016
OG0000046	MK689686.1_00055	NC_027778.1_00017
OG0000047	MK689686.1_00057	NC_027778.1_00019
OG0000048	MK689686.1_00058	NC_027778.1_00031
OG0000049	MK689686.1_00059	NC_027778.1_00020
OG0000050	MK689686.1_00076	NC_027778.1_00099
OG0000051	MK689686.1_00080	NC_027778.1_00101
OG0000052	MK689686.1_00081	NC_027778.1_00126
OG0000053	MK689686.1_00092	NC_027778.1_00035
OG0000054	MK689686.1_00094	NC_027778.1_00086
OG0000055	MK689686.1_00097	NC_027778.1_00085
OG0000056	MK689686.1_00109	NC_027778.1_00041
OG0000057	MK689686.1_00114	NC_027778.1_00037
OG0000058	MK689686.1_00116	NC_027778.1_00121
OG0000059	MK689686.1_00002	NC_027778.1_00087
OG0000060	MK689686.1_00010	NC_027778.1_00064
OG0000061	MK689686.1_00017	NC_027778.1_00071
OG0000062	MK689686.1_00089	NC_027778.1_00033
OG0000096	MK689686.1_00118	NC_027778.1_00025
OG0000116	MK689686.1_00053	NC_027778.1_00015
