Orthogroup	MW883594	OR356116
OG0000000	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein
OG0000001	ORF065L_refgen ORF065L	ORF065L_refgen ORF065L
OG0000002	AF371960.1_00081 hypothetical protein	AF371960.1_00081 hypothetical protein
OG0000003	AF371960.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein
OG0000004	AF371960.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein
OG0000005	AF371960.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein
OG0000006	AF371960.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein
OG0000007	AF371960.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein
OG0000008	AF371960.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein
OG0000009	AF371960.1_00012 hypothetical protein	AF371960.1_00012 hypothetical protein
OG0000010	AF371960.1_00013 hypothetical protein	AF371960.1_00013 hypothetical protein
OG0000011	AF371960.1_00014 hypothetical protein	AF371960.1_00014 hypothetical protein
OG0000012	AF371960.1_00015 hypothetical protein	AF371960.1_00015 hypothetical protein
OG0000013	AF371960.1_00017 hypothetical protein	AF371960.1_00017 hypothetical protein
OG0000014	AF371960.1_00018 hypothetical protein	AF371960.1_00018 hypothetical protein
OG0000015	AF371960.1_00019 hypothetical protein	AF371960.1_00019 hypothetical protein
OG0000016	AF371960.1_00020 hypothetical protein	AF371960.1_00020 hypothetical protein
OG0000017	AF371960.1_00021 hypothetical protein	AF371960.1_00021 hypothetical protein
OG0000018	AF371960.1_00022 hypothetical protein	AF371960.1_00022 hypothetical protein
OG0000019	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain
OG0000020	AF371960.1_00030 hypothetical protein	AF371960.1_00030 hypothetical protein
OG0000021	AF371960.1_00031 hypothetical protein	AF371960.1_00031 hypothetical protein
OG0000022	AF371960.1_00032 hypothetical protein	AF371960.1_00032 hypothetical protein
OG0000023	AF371960.1_00034 hypothetical protein	AF371960.1_00034 hypothetical protein
OG0000024	AF371960.1_00037 hypothetical protein	AF371960.1_00037 hypothetical protein
OG0000025	AF371960.1_00041 hypothetical protein	AF371960.1_00041 hypothetical protein
OG0000026	AF371960.1_00042 hypothetical protein	AF371960.1_00042 hypothetical protein
