Orthogroup	AY521625	OQ475017
OG0000000	AY521625.1_00091 AY521625.1 - hypothetical protein translation	OQ475017.1_00030 OQ475017.1 - hypothetical protein translation
OG0000001	AY521625.1_00077 AY521625.1 - hypothetical protein translation	OQ475017.1_00008 OQ475017.1 - hypothetical protein translation
OG0000002	AY521625.1_00130 AY521625.1 - hypothetical protein translation	OQ475017.1_00015 OQ475017.1 - hypothetical protein translation
OG0000003	AY521625.1_00085 AY521625.1 - hypothetical protein translation	OQ475017.1_00029 OQ475017.1 - hypothetical protein translation
OG0000004	AY521625.1_00142 AY521625.1 - hypothetical protein translation	OQ475017.1_00112 OQ475017.1 - hypothetical protein translation
OG0000005	AY521625.1_00054 AY521625.1 - hypothetical protein translation	OQ475017.1_00005 OQ475017.1 - hypothetical protein translation
OG0000006	AY521625.1_00064 AY521625.1 - Major capsid protein translation	OQ475017.1_00007 OQ475017.1 - Major capsid protein translation
OG0000007	AY521625.1_00110 AY521625.1 - hypothetical protein translation	OQ475017.1_00022 OQ475017.1 - hypothetical protein translation
OG0000008	AY521625.1_00074 AY521625.1 - hypothetical protein translation	OQ475017.1_00031 OQ475017.1 - hypothetical protein translation
OG0000009	AY521625.1_00059 AY521625.1 - hypothetical protein translation	OQ475017.1_00033 OQ475017.1 - hypothetical protein translation
OG0000010	AY521625.1_00065 AY521625.1 - DNA-directed RNA polymerase subunit 2 translation	OQ475017.1_00035 OQ475017.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000011	AY521625.1_00048 AY521625.1 - hypothetical protein translation	OQ475017.1_00056 OQ475017.1 - hypothetical protein translation
OG0000012	AY521625.1_00053 AY521625.1 - hypothetical protein translation	OQ475017.1_00062 OQ475017.1 - hypothetical protein translation
OG0000013	AY521625.1_00086 AY521625.1 - hypothetical protein translation	OQ475017.1_00083 OQ475017.1 - hypothetical protein translation
OG0000014	AY521625.1_00016 AY521625.1 - hypothetical protein translation	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation
OG0000015	AY521625.1_00047 AY521625.1 - hypothetical protein translation	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation
OG0000016	AY521625.1_00115 AY521625.1 - hypothetical protein translation	OQ475017.1_00120 OQ475017.1 - hypothetical protein translation
OG0000017	AY521625.1_00035 AY521625.1 - hypothetical protein translation	OQ475017.1_00121 OQ475017.1 - hypothetical protein translation
OG0000018	AY521625.1_00042 AY521625.1 - hypothetical protein translation	OQ475017.1_00027 OQ475017.1 - Ribonucleoside-diphosphate reductase small chain translation
OG0000019	AY521625.1_00051 AY521625.1 - hypothetical protein translation	OQ475017.1_00073 OQ475017.1 - hypothetical protein translation
OG0000020	AY521625.1_00073 AY521625.1 - hypothetical protein translation	OQ475017.1_00084 OQ475017.1 - hypothetical protein translation
OG0000021	AY521625.1_00100 AY521625.1 - hypothetical protein translation	OQ475017.1_00093 OQ475017.1 - hypothetical protein translation
OG0000022	AY521625.1_00069 AY521625.1 - hypothetical protein translation	OQ475017.1_00110 OQ475017.1 - hypothetical protein translation
OG0000023	AY521625.1_00062 AY521625.1 - hypothetical protein translation	OQ475017.1_00044 OQ475017.1 - hypothetical protein translation
OG0000026	AY521625.1_00022 AY521625.1 - hypothetical protein translation	OQ475017.1_00085 OQ475017.1 - hypothetical protein translation
OG0000027	AY521625.1_00060 AY521625.1 - hypothetical protein translation	OQ475017.1_00108 OQ475017.1 - hypothetical protein translation
OG0000031	AY521625.1_00004 AY521625.1 - hypothetical protein translation	OQ475017.1 - 00001 translation OQ475017.1 - 00001 translation
