Orthogroup	AY521625	NC_005946
OG0000000	AY521625.1_00091 AY521625.1 - hypothetical protein translation	NC_005946.1_00010 hypothetical protein
OG0000001	AY521625.1_00077 AY521625.1 - hypothetical protein translation	NC_005946.1_00053 hypothetical protein
OG0000002	AY521625.1_00130 AY521625.1 - hypothetical protein translation	NC_005946.1_00057 hypothetical protein
OG0000003	AY521625.1_00085 AY521625.1 - hypothetical protein translation	NC_005946.1_00095 hypothetical protein
OG0000004	AY521625.1_00142 AY521625.1 - hypothetical protein translation	NC_005946.1_00092 hypothetical protein
OG0000005	AY521625.1_00054 AY521625.1 - hypothetical protein translation	NC_005946.1_00038 hypothetical protein
OG0000006	AY521625.1_00064 AY521625.1 - Major capsid protein translation	NC_005946.1_00091 Major capsid protein
OG0000007	AY521625.1_00110 AY521625.1 - hypothetical protein translation	NC_005946.1_00060 hypothetical protein
OG0000008	AY521625.1_00074 AY521625.1 - hypothetical protein translation	NC_005946.1_00083 hypothetical protein
OG0000009	AY521625.1_00059 AY521625.1 - hypothetical protein translation	NC_005946.1_00087 hypothetical protein
OG0000010	AY521625.1_00065 AY521625.1 - DNA-directed RNA polymerase subunit 2 translation	FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit
OG0000011	AY521625.1_00048 AY521625.1 - hypothetical protein translation	NC_005946.1_00022 hypothetical protein
OG0000012	AY521625.1_00053 AY521625.1 - hypothetical protein translation	NC_005946.1_00011 hypothetical protein
OG0000013	AY521625.1_00086 AY521625.1 - hypothetical protein translation	NC_005946.1_00094 hypothetical protein
OG0000014	AY521625.1_00016 AY521625.1 - hypothetical protein translation	NC_005946.1_00002 hypothetical protein
OG0000015	AY521625.1_00047 AY521625.1 - hypothetical protein translation	NC_005946.1_00023 hypothetical protein
OG0000016	AY521625.1_00115 AY521625.1 - hypothetical protein translation	NC_005946.1_00016 hypothetical protein
OG0000017	AY521625.1_00035 AY521625.1 - hypothetical protein translation	NC_005946.1_00021 hypothetical protein
OG0000018	AY521625.1_00042 AY521625.1 - hypothetical protein translation	NC_005946.1_00067 hypothetical protein
OG0000019	AY521625.1_00051 AY521625.1 - hypothetical protein translation	NC_005946.1_00042 hypothetical protein
