Orthogroup	AY521625	MN803438
OG0000000	AY521625.1_00091 AY521625.1 - hypothetical protein translation	MN803438.1_00124 hypothetical protein
OG0000001	AY521625.1_00077 AY521625.1 - hypothetical protein translation	MN803438.1_00101 hypothetical protein
OG0000002	AY521625.1_00130 AY521625.1 - hypothetical protein translation	MN803438.1_00113 hypothetical protein
OG0000003	AY521625.1_00085 AY521625.1 - hypothetical protein translation	MN803438.1_00106 hypothetical protein
OG0000004	AY521625.1_00142 AY521625.1 - hypothetical protein translation	MN803438.1_00109 hypothetical protein
OG0000005	AY521625.1_00054 AY521625.1 - hypothetical protein translation	MN803438.1_00089 hypothetical protein
OG0000006	AY521625.1_00064 AY521625.1 - Major capsid protein translation	MN803438.1_00023 Major capsid protein
OG0000007	AY521625.1_00110 AY521625.1 - hypothetical protein translation	MN803438.1_00128 hypothetical protein
OG0000008	AY521625.1_00074 AY521625.1 - hypothetical protein translation	MN803438.1_00068 hypothetical protein
OG0000009	AY521625.1_00059 AY521625.1 - hypothetical protein translation	MN803438.1_00035 hypothetical protein
OG0000010	AY521625.1_00065 AY521625.1 - DNA-directed RNA polymerase subunit 2 translation	MN803438.1_00013 hypothetical protein
OG0000011	AY521625.1_00048 AY521625.1 - hypothetical protein translation	MN803438.1_00007 hypothetical protein
OG0000012	AY521625.1_00053 AY521625.1 - hypothetical protein translation	MN803438.1_00049 hypothetical protein
OG0000013	AY521625.1_00086 AY521625.1 - hypothetical protein translation	MN803438.1_00097 hypothetical protein
OG0000014	AY521625.1_00016 AY521625.1 - hypothetical protein translation	MN803438.1_00027 hypothetical protein
OG0000015	AY521625.1_00047 AY521625.1 - hypothetical protein translation	MN803438.1_00051 hypothetical protein
OG0000016	AY521625.1_00115 AY521625.1 - hypothetical protein translation	MN803438.1_00070 hypothetical protein
OG0000017	AY521625.1_00035 AY521625.1 - hypothetical protein translation	MN803438.1_00046 hypothetical protein
OG0000018	AY521625.1_00042 AY521625.1 - hypothetical protein translation	MN803438.1_00024 hypothetical protein
OG0000019	AY521625.1_00051 AY521625.1 - hypothetical protein translation	MN803438.1_00142 hypothetical protein
OG0000020	AY521625.1_00073 AY521625.1 - hypothetical protein translation	MN803438.1_00122 hypothetical protein
OG0000021	AY521625.1_00100 AY521625.1 - hypothetical protein translation	MN803438.1_00071 hypothetical protein
OG0000022	AY521625.1_00069 AY521625.1 - hypothetical protein translation	MN803438.1_00104 hypothetical protein
OG0000023	AY521625.1_00062 AY521625.1 - hypothetical protein translation	MN803438.1_00077 hypothetical protein
OG0000026	AY521625.1_00022 AY521625.1 - hypothetical protein translation	MN803438.1_00037 hypothetical protein
OG0000027	AY521625.1_00060 AY521625.1 - hypothetical protein translation	MN803438.1_00126 hypothetical protein
OG0000126	AY521625.1_00036 AY521625.1 - hypothetical protein translation	MN803438.1_00125 hypothetical protein, MN803438.1_00094 hypothetical protein, MN803438.1_00107 hypothetical protein, MN803438.1_00112 hypothetical protein, MN803438.1_00120 hypothetical protein, MN803438.1_00012 hypothetical protein, MN803438.1_00021 hypothetical protein
OG0000132	AY521625.1_00098 AY521625.1 - hypothetical protein translation	MN803438.1_00115 hypothetical protein
OG0000134	AY521625.1_00056 AY521625.1 - Ribonucleoside-diphosphate reductase large subunit translation	MN803438.1_00105 Ribonucleoside-diphosphate reductase large subunit
OG0000150	AY521625.1_00002 AY521625.1 - hypothetical protein translation	MN803438.1_00010 hypothetical protein
OG0000152	AY521625.1_00018 AY521625.1 - hypothetical protein translation	MN803438.1_00003 hypothetical protein
OG0000155	AY521625.1_00126 AY521625.1 - hypothetical protein translation	MN803438.1_00078 hypothetical protein
OG0000170	AY521625.1_00005 AY521625.1 - hypothetical protein translation	MN803438.1_00028 hypothetical protein
OG0000171	AY521625.1_00011 AY521625.1 - hypothetical protein translation	MN803438.1_00030 hypothetical protein
OG0000172	AY521625.1_00140 AY521625.1 - hypothetical protein translation	MN803438.1_00092 hypothetical protein
OG0000197	AY521625.1_00066 AY521625.1 - hypothetical protein translation	MN803438.1_00044 hypothetical protein
OG0000199	AY521625.1_00097 AY521625.1 - hypothetical protein translation	MN803438.1_00121 hypothetical protein
OG0000220	AY521625.1_00023 AY521625.1 - hypothetical protein translation	MN803438.1_00110 hypothetical protein
OG0000221	AY521625.1_00057 AY521625.1 - hypothetical protein translation	MN803438.1_00140 hypothetical protein
OG0000222	AY521625.1_00061 AY521625.1 - hypothetical protein translation	MN803438.1_00008 hypothetical protein
OG0000223	AY521625.1_00094 AY521625.1 - hypothetical protein translation	MN803438.1_00026 hypothetical protein
OG0000224	AY521625.1_00116 AY521625.1 - hypothetical protein translation	MN803438.1_00136 hypothetical protein
OG0000225	AY521625.1_00128 AY521625.1 - hypothetical protein translation	MN803438.1_00099 hypothetical protein
OG0000245	AY521625.1_00055 AY521625.1 - hypothetical protein translation	MN803438.1_00004 hypothetical protein
