Orthogroup	NC_005946	HF920633
OG0000000	NC_005946.1_00010 hypothetical protein	HF920633.1_00044 hypothetical protein
OG0000001	NC_005946.1_00053 hypothetical protein	HF920633.1_00069 hypothetical protein
OG0000002	NC_005946.1_00057 hypothetical protein	HF920633.1_00127 hypothetical protein
OG0000003	NC_005946.1_00095 hypothetical protein	HF920633.1_00043 hypothetical protein
OG0000004	NC_005946.1_00092 hypothetical protein	HF920633.1_00122 hypothetical protein
OG0000005	NC_005946.1_00038 hypothetical protein	HF920633.1_00097 hypothetical protein
OG0000006	NC_005946.1_00091 Major capsid protein	HF920633.1_00073 Major capsid protein
OG0000007	NC_005946.1_00060 hypothetical protein	HF920633.1_00001 hypothetical protein
OG0000008	NC_005946.1_00083 hypothetical protein	HF920633.1_00080 hypothetical protein
OG0000009	NC_005946.1_00087 hypothetical protein	HF920633.1_00158 hypothetical protein
OG0000010	FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit	HF920633.1_00175 DNA-directed RNA polymerase subunit 2
OG0000011	NC_005946.1_00022 hypothetical protein	HF920633.1_00067 hypothetical protein
OG0000012	NC_005946.1_00011 hypothetical protein	HF920633.1_00118 hypothetical protein
OG0000013	NC_005946.1_00094 hypothetical protein	HF920633.1_00163 hypothetical protein
OG0000014	NC_005946.1_00002 hypothetical protein	HF920633.1_00091 hypothetical protein
OG0000015	NC_005946.1_00023 hypothetical protein	HF920633.1_00003 hypothetical protein
OG0000016	NC_005946.1_00016 hypothetical protein	HF920633.1_00138 hypothetical protein
OG0000017	NC_005946.1_00021 hypothetical protein	HF920633.1_00058 hypothetical protein
OG0000018	NC_005946.1_00067 hypothetical protein	HF920633.1_00062 Ribonucleoside-diphosphate reductase small chain
OG0000019	NC_005946.1_00042 hypothetical protein	HF920633.1_00025 hypothetical protein
OG0000020	NC_005946.1_00082 hypothetical protein	HF920633.1_00094 hypothetical protein
OG0000021	NC_005946.1_00014 hypothetical protein	HF920633.1_00085 hypothetical protein
OG0000022	NC_005946.1_00028 hypothetical protein	HF920633.1_00079 hypothetical protein
OG0000023	NC_005946.1_00089 hypothetical protein	HF920633.1_00017 hypothetical protein
OG0000126	NC_005946.1_00020 hypothetical protein	HF920633.1_00086 hypothetical protein
OG0000132	NC_005946.1_00001 hypothetical protein	HF920633.1_00135 hypothetical protein
OG0000134	NC_005946.1_00039 Ribonucleoside-diphosphate reductase large subunit	HF920633.1_00132 hypothetical protein
OG0000140	NC_005946.1_00054 hypothetical protein	HF920633.1_00026 hypothetical protein
OG0000149	NC_005946.1_00063 Deoxyuridine	HF920633.1_00106 hypothetical protein
OG0000152	NC_005946.1_00044 hypothetical protein	HF920633.1_00024 hypothetical protein
OG0000165	NC_005946.1_00004 hypothetical protein	HF920633.1_00144 hypothetical protein
OG0000170	NC_005946.1_00026 hypothetical protein	HF920633.1_00171 hypothetical protein
OG0000172	NC_005946.1_00029 hypothetical protein	HF920633.1_00034 hypothetical protein
