Orthogroup	NC_005946.1	ON740976.1
OG0000000	NC_005946.1_00010	ON740976.1_00030
OG0000001	NC_005946.1_00053	ON740976.1_00008
OG0000002	NC_005946.1_00091	ON740976.1_00007
OG0000003	NC_005946.1_00057	ON740976.1_00014
OG0000004	NC_005946.1_00028	ON740976.1_00111
OG0000005	NC_005946.1_00014	ON740976.1_00094
OG0000006	NC_005946.1_00042	ON740976.1_00075
OG0000007	NC_005946.1_00002	ON740976.1_00089
OG0000008	NC_005946.1_00095	ON740976.1_00029
OG0000009	NC_005946.1_00092	ON740976.1_00113
OG0000011	NC_005946.1_00011	ON740976.1_00063
OG0000012	NC_005946.1_00060	ON740976.1_00021
OG0000013	NC_005946.1_00022	ON740976.1_00057
OG0000014	NC_005946.1_00016	ON740976.1_00121
OG0000015	NC_005946.1_00021	ON740976.1_00122
OG0000016	NC_005946.1_00082	ON740976.1_00086
OG0000017	NC_005946.1_00087	ON740976.1_00033
OG0000018	NC_005946.1_00023	ON740976.1_00106
OG0000019	NC_005946.1_00094	ON740976.1_00085
OG0000020	NC_005946.1_00083	ON740976.1_00031
OG0000021	NC_005946.1_00038	ON740976.1_00005
OG0000022	NC_005946.1_00061	ON740976.1_00035
OG0000023	NC_005946.1_00089	ON740976.1_00044
OG0000024	NC_005946.1_00067	ON740976.1_00026
OG0000026	NC_005946.1_00086	ON740976.1_00109
OG0000027	NC_005946.1_00049	ON740976.1_00087
OG0000028	NC_005946.1_00085	ON740976.1_00047
OG0000112	NC_005946.1_00006	ON740976.1_00079
