Orthogroup	NC_005946.1	GQ273492.1
OG0000000	NC_005946.1_00010	GQ273492.1_00030
OG0000001	NC_005946.1_00053	GQ273492.1_00008
OG0000002	NC_005946.1_00091	GQ273492.1_00007
OG0000003	NC_005946.1_00057	GQ273492.1_00015
OG0000004	NC_005946.1_00028	GQ273492.1_00108
OG0000005	NC_005946.1_00014	GQ273492.1_00092
OG0000006	NC_005946.1_00042	GQ273492.1_00073
OG0000007	NC_005946.1_00002	GQ273492.1_00087
OG0000008	NC_005946.1_00095	GQ273492.1_00029
OG0000009	NC_005946.1_00092	GQ273492.1_00110
OG0000011	NC_005946.1_00011	GQ273492.1_00063
OG0000012	NC_005946.1_00060	GQ273492.1_00022
OG0000013	NC_005946.1_00022	GQ273492.1_00056
OG0000014	NC_005946.1_00016	GQ273492.1_00118
OG0000015	NC_005946.1_00021	GQ273492.1_00119
OG0000016	NC_005946.1_00082	GQ273492.1_00084
OG0000017	NC_005946.1_00087	GQ273492.1_00033
OG0000018	NC_005946.1_00023	GQ273492.1_00103
OG0000019	NC_005946.1_00094	GQ273492.1_00083
OG0000020	NC_005946.1_00083	GQ273492.1_00031
OG0000021	NC_005946.1_00038	GQ273492.1_00005
OG0000022	NC_005946.1_00061	GQ273492.1_00035
OG0000023	NC_005946.1_00089	GQ273492.1_00044
OG0000024	NC_005946.1_00067	GQ273492.1_00027
OG0000026	NC_005946.1_00086	GQ273492.1_00106
OG0000027	NC_005946.1_00049	GQ273492.1_00085
OG0000028	NC_005946.1_00085	GQ273492.1_00047
OG0000112	NC_005946.1_00006	GQ273492.1_00077
