Orthogroup	NC_005946.1	OL774653.1
OG0000000	NC_005946.1_00010	OL774653.1_00051
OG0000001	NC_005946.1_00053	OL774653.1_00026
OG0000002	NC_005946.1_00091	OL774653.1_00025
OG0000003	NC_005946.1_00057	OL774653.1_00032
OG0000004	NC_005946.1_00028	OL774653.1_00006
OG0000005	NC_005946.1_00014	OL774653.1_00114
OG0000006	NC_005946.1_00042	OL774653.1_00094
OG0000007	NC_005946.1_00002	OL774653.1_00108
OG0000008	NC_005946.1_00095	OL774653.1_00050
OG0000009	NC_005946.1_00092	OL774653.1_00008
OG0000011	NC_005946.1_00011	OL774653.1_00082
OG0000012	NC_005946.1_00060	OL774653.1_00039
OG0000013	NC_005946.1_00022	OL774653.1_00076
OG0000014	NC_005946.1_00016	OL774653.1_00016
OG0000015	NC_005946.1_00021	OL774653.1_00017
OG0000016	NC_005946.1_00082	OL774653.1_00105
OG0000017	NC_005946.1_00087	OL774653.1_00054
OG0000018	NC_005946.1_00023	OL774653.1_00001
OG0000019	NC_005946.1_00094	OL774653.1_00104
OG0000020	NC_005946.1_00083	OL774653.1_00052
OG0000021	NC_005946.1_00038	OL774653.1_00023
OG0000022	NC_005946.1_00061	OL774653.1_00056
OG0000023	NC_005946.1_00089	OL774653.1_00065
OG0000024	NC_005946.1_00067	OL774653.1_00047
OG0000026	NC_005946.1_00086	OL774653.1_00004
OG0000027	NC_005946.1_00049	OL774653.1_00106
OG0000028	NC_005946.1_00085	OL774653.1_00068
OG0000112	NC_005946.1_00006	OL774653.1_00098
