Orthogroup	NC_005946.1	MK689685.1
OG0000000	NC_005946.1_00010	MK689685.1_00029
OG0000001	NC_005946.1_00053	MK689685.1_00008
OG0000002	NC_005946.1_00091	MK689685.1_00007
OG0000003	NC_005946.1_00057	MK689685.1_00015
OG0000004	NC_005946.1_00028	MK689685.1_00110
OG0000005	NC_005946.1_00014	MK689685.1_00094
OG0000006	NC_005946.1_00042	MK689685.1_00075
OG0000007	NC_005946.1_00002	MK689685.1_00089
OG0000008	NC_005946.1_00095	MK689685.1_00028
OG0000009	NC_005946.1_00092	MK689685.1_00111
OG0000011	NC_005946.1_00011	MK689685.1_00061
OG0000012	NC_005946.1_00060	MK689685.1_00021
OG0000013	NC_005946.1_00022	MK689685.1_00054
OG0000014	NC_005946.1_00016	MK689685.1_00118
OG0000015	NC_005946.1_00021	MK689685.1_00119
OG0000016	NC_005946.1_00082	MK689685.1_00086
OG0000017	NC_005946.1_00087	MK689685.1_00032
OG0000018	NC_005946.1_00023	MK689685.1_00105
OG0000019	NC_005946.1_00094	MK689685.1_00085
OG0000020	NC_005946.1_00083	MK689685.1_00030
OG0000021	NC_005946.1_00038	MK689685.1_00005
OG0000022	NC_005946.1_00061	MK689685.1_00034
OG0000023	NC_005946.1_00089	MK689685.1_00043
OG0000026	NC_005946.1_00086	MK689685.1_00108
OG0000027	NC_005946.1_00049	MK689685.1_00087
OG0000028	NC_005946.1_00085	MK689685.1_00046
