Orthogroup	NC_005946.1	ON743042.1
OG0000000	NC_005946.1_00010	ON743042.1_00031
OG0000001	NC_005946.1_00053	ON743042.1_00008
OG0000002	NC_005946.1_00091	ON743042.1_00007
OG0000003	NC_005946.1_00057	ON743042.1_00015
OG0000004	NC_005946.1_00028	ON743042.1_00113
OG0000005	NC_005946.1_00014	ON743042.1_00096
OG0000006	NC_005946.1_00042	ON743042.1_00077
OG0000007	NC_005946.1_00002	ON743042.1_00091
OG0000008	NC_005946.1_00095	ON743042.1_00030
OG0000009	NC_005946.1_00092	ON743042.1_00115
OG0000011	NC_005946.1_00011	ON743042.1_00065
OG0000012	NC_005946.1_00060	ON743042.1_00022
OG0000013	NC_005946.1_00022	ON743042.1_00059
OG0000014	NC_005946.1_00016	ON743042.1_00123
OG0000015	NC_005946.1_00021	ON743042.1_00124
OG0000016	NC_005946.1_00082	ON743042.1_00088
OG0000017	NC_005946.1_00087	ON743042.1_00034
OG0000018	NC_005946.1_00023	ON743042.1_00108
OG0000019	NC_005946.1_00094	ON743042.1_00087
OG0000020	NC_005946.1_00083	ON743042.1_00032
OG0000021	NC_005946.1_00038	ON743042.1_00005
OG0000022	NC_005946.1_00061	ON743042.1_00036
OG0000023	NC_005946.1_00089	ON743042.1_00046
OG0000024	NC_005946.1_00067	ON743042.1_00027
OG0000026	NC_005946.1_00086	ON743042.1_00111
OG0000027	NC_005946.1_00049	ON743042.1_00089
OG0000028	NC_005946.1_00085	ON743042.1_00049
OG0000112	NC_005946.1_00006	ON743042.1_00081
