Orthogroup	NC_005946.1	HF920637.1
OG0000000	NC_005946.1_00010	HF920637.1_00129, HF920637.1_00164
OG0000001	NC_005946.1_00053	HF920637.1_00059
OG0000002	NC_005946.1_00091	HF920637.1_00143
OG0000003	NC_005946.1_00057	HF920637.1_00159
OG0000004	NC_005946.1_00028	HF920637.1_00025
OG0000005	NC_005946.1_00014	HF920637.1_00221
OG0000006	NC_005946.1_00042	HF920637.1_00121
OG0000007	NC_005946.1_00002	HF920637.1_00172
OG0000008	NC_005946.1_00095	HF920637.1_00176, HF920637.1_00175
OG0000009	NC_005946.1_00092	HF920637.1_00153
OG0000011	NC_005946.1_00011	HF920637.1_00217
OG0000012	NC_005946.1_00060	HF920637.1_00001
OG0000013	NC_005946.1_00022	HF920637.1_00017
OG0000014	NC_005946.1_00016	HF920637.1_00108
OG0000015	NC_005946.1_00021	HF920637.1_00152
OG0000016	NC_005946.1_00082	HF920637.1_00079
OG0000017	NC_005946.1_00087	HF920637.1_00073
OG0000018	NC_005946.1_00023	HF920637.1_00111
OG0000019	NC_005946.1_00094	HF920637.1_00197
OG0000020	NC_005946.1_00083	HF920637.1_00031
OG0000021	NC_005946.1_00038	HF920637.1_00041
OG0000022	NC_005946.1_00061	HF920637.1_00213
OG0000023	NC_005946.1_00089	HF920637.1_00033
OG0000024	NC_005946.1_00067	HF920637.1_00061
OG0000113	NC_005946.1_00020	HF920637.1_00077, HF920637.1_00148
OG0000134	NC_005946.1_00001	HF920637.1_00219
OG0000135	NC_005946.1_00079	HF920637.1_00014
OG0000137	NC_005946.1_00039	HF920637.1_00105
OG0000148	NC_005946.1_00054	HF920637.1_00060
OG0000156	NC_005946.1_00063	HF920637.1_00150
OG0000160	NC_005946.1_00075	HF920637.1_00072
