Orthogroup	NC_005946.1	L63545.1
OG0000000	NC_005946.1_00010	L63545.1_00007
OG0000001	NC_005946.1_00053	L63545.1_00035
OG0000002	NC_005946.1_00091	L63545.1_00079
OG0000003	NC_005946.1_00057	L63545.1_00076
OG0000004	NC_005946.1_00028	L63545.1_00001
OG0000005	NC_005946.1_00014	L63545.1_00056
OG0000006	NC_005946.1_00042	L63545.1_00093
OG0000007	NC_005946.1_00002	L63545.1_00090
OG0000008	NC_005946.1_00095	L63545.1_00108
OG0000009	NC_005946.1_00092	L63545.1_00024
OG0000011	NC_005946.1_00011	L63545.1_00069
OG0000012	NC_005946.1_00060	L63545.1_00071
OG0000013	NC_005946.1_00022	L63545.1_00004
OG0000014	NC_005946.1_00016	L63545.1_00030
OG0000015	NC_005946.1_00021	L63545.1_00110
OG0000016	NC_005946.1_00082	L63545.1_00073
OG0000017	NC_005946.1_00087	L63545.1_00072
OG0000018	NC_005946.1_00023	L63545.1_00068
OG0000019	NC_005946.1_00094	L63545.1_00009
OG0000020	NC_005946.1_00083	L63545.1_00098
OG0000021	NC_005946.1_00038	L63545.1_00043
OG0000022	NC_005946.1_00061	L63545.1_00013
OG0000023	NC_005946.1_00089	L63545.1_00054
OG0000024	NC_005946.1_00067	L63545.1_00015
OG0000026	NC_005946.1_00086	L63545.1_00002
OG0000027	NC_005946.1_00049	L63545.1_00058
OG0000028	NC_005946.1_00085	L63545.1_00003
OG0000113	NC_005946.1_00020	L63545.1_00088, L63545.1_00051, L63545.1_00047, L63545.1_00050
OG0000134	NC_005946.1_00001	L63545.1_00092
OG0000135	NC_005946.1_00079	L63545.1_00016
OG0000137	NC_005946.1_00039	L63545.1_00100
OG0000151	NC_005946.1_00052	L63545.1_00085
OG0000158	NC_005946.1_00044	L63545.1_00018
OG0000160	NC_005946.1_00075	L63545.1_00055
OG0000176	NC_005946.1_00026	L63545.1_00066
OG0000177	NC_005946.1_00033	L63545.1_00091
OG0000178	NC_005946.1_00029	L63545.1_00048
OG0000206	NC_005946.1_00062	L63545.1_00106
OG0000232	NC_005946.1_00051	L63545.1_00025
OG0000234	NC_005946.1_00088	L63545.1_00021
OG0000235	NC_005946.1_00096	L63545.1_00109
OG0000236	NC_005946.1_00015	L63545.1_00022
OG0000237	NC_005946.1_00073	L63545.1_00032
OG0000290	NC_005946.1_00034	L63545.1_00061
