Orthogroup	NC_005946.1	OL774655.1
OG0000000	NC_005946.1_00010	OL774655.1_00034
OG0000001	NC_005946.1_00053	OL774655.1_00008
OG0000002	NC_005946.1_00091	OL774655.1_00007
OG0000003	NC_005946.1_00057	OL774655.1_00015
OG0000004	NC_005946.1_00028	OL774655.1_00113
OG0000005	NC_005946.1_00014	OL774655.1_00096
OG0000006	NC_005946.1_00042	OL774655.1_00078
OG0000007	NC_005946.1_00002	OL774655.1_00091
OG0000008	NC_005946.1_00095	OL774655.1_00033
OG0000009	NC_005946.1_00092	OL774655.1_00115
OG0000011	NC_005946.1_00011	OL774655.1_00066
OG0000012	NC_005946.1_00060	OL774655.1_00022
OG0000013	NC_005946.1_00022	OL774655.1_00060
OG0000014	NC_005946.1_00016	OL774655.1_00123
OG0000015	NC_005946.1_00021	OL774655.1_00124
OG0000016	NC_005946.1_00082	OL774655.1_00088
OG0000017	NC_005946.1_00087	OL774655.1_00037
OG0000018	NC_005946.1_00023	OL774655.1_00108
OG0000019	NC_005946.1_00094	OL774655.1_00087
OG0000020	NC_005946.1_00083	OL774655.1_00035
OG0000021	NC_005946.1_00038	OL774655.1_00005
OG0000022	NC_005946.1_00061	OL774655.1_00039
OG0000023	NC_005946.1_00089	OL774655.1_00048
OG0000024	NC_005946.1_00067	OL774655.1_00030
OG0000026	NC_005946.1_00086	OL774655.1_00111
OG0000027	NC_005946.1_00049	OL774655.1_00089
OG0000028	NC_005946.1_00085	OL774655.1_00051
OG0000112	NC_005946.1_00006	OL774655.1_00081
