Orthogroup	LS484712.1	MF599468.1
OG0000000	LS484712.1_00114	MF599468.1_00057, MF599468.1_00056
OG0000001	LS484712.1_00142	MF599468.1_00152
OG0000003	LS484712.1_00095	MF599468.1_00163
OG0000004	LS484712.1_00187	MF599468.1_00011
OG0000005	LS484712.1_00248	MF599468.1_00030
OG0000006	LS484712.1_00040	MF599468.1_00010
OG0000007	LS484712.1_00234, LS484712.1_00050	MF599468.1_00174
OG0000009	LS484712.1_00130	MF599468.1_00075
OG0000010	LS484712.1_00096	MF599468.1_00116
OG0000011	LS484712.1_00200	MF599468.1_00112
OG0000012	LS484712.1_00188	MF599468.1_00090
OG0000013	LS484712.1_00240	MF599468.1_00035
OG0000014	LS484712.1_00194	MF599468.1_00071
OG0000015	LS484712.1_00143	MF599468.1_00033
OG0000016	LS484712.1_00203	MF599468.1_00149
OG0000017	LS484712.1_00192	MF599468.1_00106
OG0000018	LS484712.1_00048	MF599468.1_00046
OG0000019	LS484712.1_00053	MF599468.1_00117
OG0000020	LS484712.1_00202	MF599468.1_00122
OG0000021	LS484712.1_00135	MF599468.1_00009
OG0000022	LS484712.1_00117	MF599468.1_00171
OG0000137	LS484712.1_00057	MF599468.1_00002
OG0000138	LS484712.1_00197	MF599468.1_00027
OG0000154	LS484712.1_00133	MF599468.1_00161
OG0000155	LS484712.1_00063	MF599468.1_00051
OG0000177	LS484712.1_00184	MF599468.1_00155
OG0000178	LS484712.1_00195	MF599468.1_00162
OG0000181	LS484712.1_00140	MF599468.1_00004
OG0000182	LS484712.1_00116	MF599468.1_00141
OG0000185	LS484712.1_00212	MF599468.1_00067
OG0000186	LS484712.1_00112	MF599468.1_00105
