Orthogroup	LS484712.1	HF920633.1
OG0000000	LS484712.1_00114	HF920633.1_00044
OG0000001	LS484712.1_00142	HF920633.1_00073
OG0000003	LS484712.1_00095	HF920633.1_00069
OG0000004	LS484712.1_00187	HF920633.1_00127
OG0000005	LS484712.1_00248	HF920633.1_00043
OG0000006	LS484712.1_00040	HF920633.1_00025
OG0000007	LS484712.1_00234, LS484712.1_00050	HF920633.1_00091
OG0000009	LS484712.1_00130	HF920633.1_00122
OG0000010	LS484712.1_00096	HF920633.1_00097
OG0000011	LS484712.1_00200	HF920633.1_00001
OG0000012	LS484712.1_00188	HF920633.1_00080
OG0000013	LS484712.1_00240	HF920633.1_00158
OG0000014	LS484712.1_00194	HF920633.1_00175
OG0000015	LS484712.1_00143	HF920633.1_00067
OG0000016	LS484712.1_00203	HF920633.1_00118
OG0000017	LS484712.1_00192	HF920633.1_00163
OG0000018	LS484712.1_00048	HF920633.1_00094
OG0000019	LS484712.1_00053	HF920633.1_00003
OG0000020	LS484712.1_00202	HF920633.1_00138
OG0000021	LS484712.1_00135	HF920633.1_00058
OG0000022	LS484712.1_00117	HF920633.1_00017
OG0000125	LS484712.1_00198	HF920633.1_00147
OG0000137	LS484712.1_00057	HF920633.1_00135
OG0000138	LS484712.1_00197	HF920633.1_00064
OG0000147	LS484712.1_00149	HF920633.1_00062
OG0000148	LS484712.1_00251	HF920633.1_00132
OG0000154	LS484712.1_00133	HF920633.1_00026
OG0000155	LS484712.1_00063	HF920633.1_00053
OG0000177	LS484712.1_00184	HF920633.1_00046
OG0000178	LS484712.1_00195	HF920633.1_00082
OG0000179	LS484712.1_00211	HF920633.1_00088
OG0000181	LS484712.1_00140	HF920633.1_00105
OG0000182	LS484712.1_00116	HF920633.1_00134
OG0000185	LS484712.1_00212	HF920633.1_00169
OG0000186	LS484712.1_00112	HF920633.1_00177
OG0000202	LS484712.1_00120	HF920633.1_00029
OG0000204	LS484712.1_00163	HF920633.1_00035
OG0000205	LS484712.1_00113	HF920633.1_00039
OG0000207	LS484712.1_00060	HF920633.1_00050
OG0000212	LS484712.1_00106	HF920633.1_00121
OG0000216	LS484712.1_00196	HF920633.1_00131
OG0000217	LS484712.1_00224	HF920633.1_00146
OG0000271	LS484712.1_00207	HF920633.1_00060
OG0000273	LS484712.1_00256	HF920633.1_00085
OG0000275	LS484712.1_00052	HF920633.1_00101
OG0000280	LS484712.1_00206	HF920633.1_00159
OG0000282	LS484712.1_00201	HF920633.1_00164
