Orthogroup	LS484712.1	OK042108.1
OG0000000	LS484712.1_00114	OK042108.1_00047
OG0000001	LS484712.1_00142	OK042108.1_00069
OG0000003	LS484712.1_00095	OK042108.1_00068
OG0000004	LS484712.1_00187	OK042108.1_00062
OG0000005	LS484712.1_00248	OK042108.1_00048
OG0000006	LS484712.1_00040	OK042108.1_00001
OG0000007	LS484712.1_00234, LS484712.1_00050	OK042108.1_00109
OG0000009	LS484712.1_00130	OK042108.1_00085
OG0000010	LS484712.1_00096	OK042108.1_00070
OG0000011	LS484712.1_00200	OK042108.1_00055
OG0000012	LS484712.1_00188	OK042108.1_00046
OG0000013	LS484712.1_00240	OK042108.1_00044
OG0000014	LS484712.1_00194	OK042108.1_00042
OG0000015	LS484712.1_00143	OK042108.1_00020
OG0000016	LS484712.1_00203	OK042108.1_00013
OG0000017	LS484712.1_00192	OK042108.1_00113
OG0000018	LS484712.1_00048	OK042108.1_00112
OG0000019	LS484712.1_00053	OK042108.1_00092
OG0000020	LS484712.1_00202	OK042108.1_00077
OG0000021	LS484712.1_00135	OK042108.1_00076
OG0000022	LS484712.1_00117	OK042108.1_00033
OG0000068	LS484712.1_00002	OK042108.1_00009
