Orthogroup	AY532606.1	NC_005946.1
OG0000000	AY532606.1_00030	NC_005946.1_00010
OG0000001	AY532606.1_00007	NC_005946.1_00053
OG0000002	AY532606.1_00006	NC_005946.1_00091
OG0000003	AY532606.1_00014	NC_005946.1_00057
OG0000004	AY532606.1_00116, AY532606.1_00117	NC_005946.1_00028
OG0000005	AY532606.1_00099, AY532606.1_00098	NC_005946.1_00014
OG0000006	AY532606.1_00078	NC_005946.1_00042
OG0000007	AY532606.1_00093	NC_005946.1_00002
OG0000008	AY532606.1_00029	NC_005946.1_00095
OG0000009	AY532606.1_00120, AY532606.1_00119	NC_005946.1_00092
OG0000011	AY532606.1_00064	NC_005946.1_00011
OG0000012	AY532606.1_00020	NC_005946.1_00060
OG0000013	AY532606.1_00057	NC_005946.1_00022
OG0000014	AY532606.1_00125	NC_005946.1_00016
OG0000015	AY532606.1_00126	NC_005946.1_00021
OG0000016	AY532606.1_00089	NC_005946.1_00082
OG0000017	AY532606.1_00033	NC_005946.1_00087
OG0000018	AY532606.1_00111	NC_005946.1_00023
OG0000019	AY532606.1_00088	NC_005946.1_00094
OG0000020	AY532606.1_00031	NC_005946.1_00083
OG0000021	AY532606.1_00004	NC_005946.1_00038
OG0000022	AY532606.1_00035	NC_005946.1_00061
OG0000024	AY532606.1_00026	NC_005946.1_00067
OG0000026	AY532606.1_00114	NC_005946.1_00086
OG0000027	AY532606.1_00090	NC_005946.1_00049
OG0000028	AY532606.1_00047	NC_005946.1_00085
OG0000112	AY532606.1_00082	NC_005946.1_00006
