Orthogroup	AY532606.1	HF920637.1
OG0000000	AY532606.1_00030	HF920637.1_00129, HF920637.1_00164
OG0000001	AY532606.1_00007	HF920637.1_00059
OG0000002	AY532606.1_00006	HF920637.1_00143
OG0000003	AY532606.1_00014	HF920637.1_00159
OG0000004	AY532606.1_00116, AY532606.1_00117	HF920637.1_00025
OG0000005	AY532606.1_00099, AY532606.1_00098	HF920637.1_00221
OG0000006	AY532606.1_00078	HF920637.1_00121
OG0000007	AY532606.1_00093	HF920637.1_00172
OG0000008	AY532606.1_00029	HF920637.1_00176, HF920637.1_00175
OG0000009	AY532606.1_00120, AY532606.1_00119	HF920637.1_00153
OG0000011	AY532606.1_00064	HF920637.1_00217
OG0000012	AY532606.1_00020	HF920637.1_00001
OG0000013	AY532606.1_00057	HF920637.1_00017
OG0000014	AY532606.1_00125	HF920637.1_00108
OG0000015	AY532606.1_00126	HF920637.1_00152
OG0000016	AY532606.1_00089	HF920637.1_00079
OG0000017	AY532606.1_00033	HF920637.1_00073
OG0000018	AY532606.1_00111	HF920637.1_00111
OG0000019	AY532606.1_00088	HF920637.1_00197
OG0000020	AY532606.1_00031	HF920637.1_00031
OG0000021	AY532606.1_00004	HF920637.1_00041
OG0000022	AY532606.1_00035	HF920637.1_00213
OG0000024	AY532606.1_00026	HF920637.1_00061
OG0000025	AY532606.1_00066, AY532606.1_00065	HF920637.1_00156
OG0000031	AY532606.1_00005	HF920637.1_00127
