Orthogroup	AY532606.1	AF303741.1
OG0000000	AY532606.1_00030	AF303741.1_00079, AF303741.1_00152
OG0000001	AY532606.1_00007	AF303741.1_00200, AF303741.1_00047
OG0000002	AY532606.1_00006	AF303741.1_00125
OG0000003	AY532606.1_00014	AF303741.1_00035
OG0000004	AY532606.1_00116, AY532606.1_00117	AF303741.1_00080
OG0000005	AY532606.1_00099, AY532606.1_00098	AF303741.1_00129
OG0000006	AY532606.1_00078	AF303741.1_00132
OG0000007	AY532606.1_00093	AF303741.1_00149
OG0000008	AY532606.1_00029	AF303741.1_00165
OG0000009	AY532606.1_00120, AY532606.1_00119	AF303741.1_00176
OG0000011	AY532606.1_00064	AF303741.1_00006
OG0000012	AY532606.1_00020	AF303741.1_00011
OG0000013	AY532606.1_00057	AF303741.1_00023
OG0000014	AY532606.1_00125	AF303741.1_00026
OG0000015	AY532606.1_00126	AF303741.1_00046
OG0000016	AY532606.1_00089	AF303741.1_00062
OG0000017	AY532606.1_00033	AF303741.1_00063
OG0000018	AY532606.1_00111	AF303741.1_00081
OG0000019	AY532606.1_00088	AF303741.1_00137
OG0000020	AY532606.1_00031	AF303741.1_00156
OG0000021	AY532606.1_00004	AF303741.1_00158
OG0000022	AY532606.1_00035	AF303741.1_00189
OG0000024	AY532606.1_00026	AF303741.1_00168
OG0000025	AY532606.1_00066, AY532606.1_00065	AF303741.1_00051
