Orthogroup	AP017456	AF303741
OG0000000	MK689686.1_00029 hypothetical protein	AF303741.1_00079 DNA_polymerase_1, AF303741.1_00152 DNA_polymerase_2
OG0000001	MK689686.1_00008 hypothetical protein	AF303741.1_00047 hypothetical protein
OG0000002	MK689686.1_00014 hypothetical protein	AF303741.1_00035 hypothetical protein
OG0000003	MK689686.1_00028 hypothetical protein	AF303741.1_00165 hypothetical protein
OG0000004	MK689686.1_00005 hypothetical protein	AF303741.1_00158 hypothetical protein
OG0000005	MK689686.1_00007 Major capsid protein	AF303741.1_00125 Major capsid protein
OG0000006	MK689686.1_00021 hypothetical protein	AF303741.1_00011 hypothetical protein
OG0000007	MK689686.1_00030 hypothetical protein	AF303741.1_00156 hypothetical protein
OG0000008	MK689686.1_00032 hypothetical protein	AF303741.1_00063 hypothetical protein
OG0000009	MK689686.1_00034 DNA-directed RNA polymerase subunit 2	AF303741.1_00189 DNA-directed RNA polymerase subunit 2
OG0000010	MK689686.1_00056 hypothetical protein	AF303741.1_00023 hypothetical protein
OG0000011	MK689686.1_00062 hypothetical protein	AF303741.1_00006 hypothetical protein
OG0000012	MK689686.1_00084 hypothetical protein	AF303741.1_00137 hypothetical protein
OG0000013	MK689686.1_00088 hypothetical protein	AF303741.1_00149 hypothetical protein
OG0000014	MK689686.1_00105 hypothetical protein	AF303741.1_00081 hypothetical protein
OG0000015	MK689686.1_00120 hypothetical protein	AF303741.1_00026 hypothetical protein
OG0000016	MK689686.1_00121 hypothetical protein	AF303741.1_00046 hypothetical protein
OG0000017	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain	AF303741.1_00168 Ribonucleoside-diphosphate reductase small chain
OG0000018	MK689686.1_00074 hypothetical protein	AF303741.1_00132 hypothetical protein
OG0000019	MK689686.1_00085 hypothetical protein	AF303741.1_00062 hypothetical protein
OG0000020	MK689686.1_00093 hypothetical protein	AF303741.1_00129 hypothetical protein
OG0000021	MK689686.1_00110 hypothetical protein	AF303741.1_00080 hypothetical protein
OG0000022	MK689686.1_00043 hypothetical protein	AF303741.1_00154 FAD-linked sulfhydryl oxidase
OG0000023	MK689686.1_00112 hypothetical protein	AF303741.1_00176 hypothetical protein
OG0000024	MK689686.1_00063 hypothetical protein	AF303741.1_00051 Dual specificity protein phosphatase H1
