Orthogroup	KF938901.1	OL774653.1
OG0000000	KF938901.1_00126	OL774653.1_00051
OG0000001	KF938901.1_00044	OL774653.1_00025
OG0000003	KF938901.1_00080	OL774653.1_00026
OG0000004	KF938901.1_00005	OL774653.1_00032
OG0000005	KF938901.1_00067	OL774653.1_00050
OG0000006	KF938901.1_00072	OL774653.1_00094
OG0000007	KF938901.1_00053	OL774653.1_00108
OG0000008	KF938901.1_00043	OL774653.1_00006
OG0000009	KF938901.1_00114	OL774653.1_00008
OG0000010	KF938901.1_00124	OL774653.1_00023
OG0000011	KF938901.1_00054	OL774653.1_00039
OG0000012	KF938901.1_00047	OL774653.1_00052
OG0000013	KF938901.1_00123	OL774653.1_00054
OG0000014	KF938901.1_00023	OL774653.1_00056
OG0000015	KF938901.1_00060	OL774653.1_00076
OG0000016	KF938901.1_00092	OL774653.1_00082
OG0000017	KF938901.1_00012	OL774653.1_00104
OG0000018	KF938901.1_00046	OL774653.1_00105
OG0000019	KF938901.1_00025	OL774653.1_00001
OG0000020	KF938901.1_00074	OL774653.1_00016
OG0000021	KF938901.1_00095	OL774653.1_00017
OG0000022	KF938901.1_00031	OL774653.1_00065
OG0000025	KF938901.1_00093	OL774653.1_00083
