Orthogroup	KF938901.1	ON740976.1
OG0000000	KF938901.1_00126	ON740976.1_00030
OG0000001	KF938901.1_00044	ON740976.1_00007
OG0000003	KF938901.1_00080	ON740976.1_00008
OG0000004	KF938901.1_00005	ON740976.1_00014
OG0000005	KF938901.1_00067	ON740976.1_00029
OG0000006	KF938901.1_00072	ON740976.1_00075
OG0000007	KF938901.1_00053	ON740976.1_00089
OG0000008	KF938901.1_00043	ON740976.1_00111
OG0000009	KF938901.1_00114	ON740976.1_00113
OG0000010	KF938901.1_00124	ON740976.1_00005
OG0000011	KF938901.1_00054	ON740976.1_00021
OG0000012	KF938901.1_00047	ON740976.1_00031
OG0000013	KF938901.1_00123	ON740976.1_00033
OG0000014	KF938901.1_00023	ON740976.1_00035
OG0000015	KF938901.1_00060	ON740976.1_00057
OG0000016	KF938901.1_00092	ON740976.1_00063
OG0000017	KF938901.1_00012	ON740976.1_00085
OG0000018	KF938901.1_00046	ON740976.1_00086
OG0000019	KF938901.1_00025	ON740976.1_00106
OG0000020	KF938901.1_00074	ON740976.1_00121
OG0000021	KF938901.1_00095	ON740976.1_00122
OG0000022	KF938901.1_00031	ON740976.1_00044
OG0000025	KF938901.1_00093	ON740976.1_00064
