Orthogroup	KF938901.1	AY532606.1
OG0000000	KF938901.1_00126	AY532606.1_00030
OG0000001	KF938901.1_00044	AY532606.1_00006
OG0000003	KF938901.1_00080	AY532606.1_00007
OG0000004	KF938901.1_00005	AY532606.1_00014
OG0000005	KF938901.1_00067	AY532606.1_00029
OG0000006	KF938901.1_00072	AY532606.1_00078
OG0000007	KF938901.1_00053	AY532606.1_00093
OG0000008	KF938901.1_00043	AY532606.1_00116, AY532606.1_00117
OG0000009	KF938901.1_00114	AY532606.1_00120, AY532606.1_00119
OG0000010	KF938901.1_00124	AY532606.1_00004
OG0000011	KF938901.1_00054	AY532606.1_00020
OG0000012	KF938901.1_00047	AY532606.1_00031
OG0000013	KF938901.1_00123	AY532606.1_00033
OG0000014	KF938901.1_00023	AY532606.1_00035
OG0000015	KF938901.1_00060	AY532606.1_00057
OG0000016	KF938901.1_00092	AY532606.1_00064
OG0000017	KF938901.1_00012	AY532606.1_00088
OG0000018	KF938901.1_00046	AY532606.1_00089
OG0000019	KF938901.1_00025	AY532606.1_00111
OG0000020	KF938901.1_00074	AY532606.1_00125
OG0000021	KF938901.1_00095	AY532606.1_00126
OG0000025	KF938901.1_00093	AY532606.1_00066, AY532606.1_00065
