Orthogroup	KF938901.1	ON743042.1
OG0000000	KF938901.1_00126	ON743042.1_00031
OG0000001	KF938901.1_00044	ON743042.1_00007
OG0000003	KF938901.1_00080	ON743042.1_00008
OG0000004	KF938901.1_00005	ON743042.1_00015
OG0000005	KF938901.1_00067	ON743042.1_00030
OG0000006	KF938901.1_00072	ON743042.1_00077
OG0000007	KF938901.1_00053	ON743042.1_00091
OG0000008	KF938901.1_00043	ON743042.1_00113
OG0000009	KF938901.1_00114	ON743042.1_00115
OG0000010	KF938901.1_00124	ON743042.1_00005
OG0000011	KF938901.1_00054	ON743042.1_00022
OG0000012	KF938901.1_00047	ON743042.1_00032
OG0000013	KF938901.1_00123	ON743042.1_00034
OG0000014	KF938901.1_00023	ON743042.1_00036
OG0000015	KF938901.1_00060	ON743042.1_00059
OG0000016	KF938901.1_00092	ON743042.1_00065
OG0000017	KF938901.1_00012	ON743042.1_00087
OG0000018	KF938901.1_00046	ON743042.1_00088
OG0000019	KF938901.1_00025	ON743042.1_00108
OG0000020	KF938901.1_00074	ON743042.1_00123
OG0000021	KF938901.1_00095	ON743042.1_00124
OG0000022	KF938901.1_00031	ON743042.1_00046
OG0000025	KF938901.1_00093	ON743042.1_00066
