Orthogroup	KF938901.1	MN432490.1
OG0000000	KF938901.1_00126	MN432490.1_00032
OG0000001	KF938901.1_00044	MN432490.1_00007
OG0000003	KF938901.1_00080	MN432490.1_00008
OG0000004	KF938901.1_00005	MN432490.1_00015
OG0000005	KF938901.1_00067	MN432490.1_00031
OG0000006	KF938901.1_00072	MN432490.1_00078
OG0000007	KF938901.1_00053	MN432490.1_00092
OG0000008	KF938901.1_00043	MN432490.1_00113
OG0000009	KF938901.1_00114	MN432490.1_00114
OG0000010	KF938901.1_00124	MN432490.1_00005
OG0000011	KF938901.1_00054	MN432490.1_00023
OG0000012	KF938901.1_00047	MN432490.1_00033
OG0000013	KF938901.1_00123	MN432490.1_00035
OG0000014	KF938901.1_00023	MN432490.1_00037
OG0000015	KF938901.1_00060	MN432490.1_00058
OG0000016	KF938901.1_00092	MN432490.1_00064
OG0000017	KF938901.1_00012	MN432490.1_00088
OG0000018	KF938901.1_00046	MN432490.1_00089
OG0000019	KF938901.1_00025	MN432490.1_00108
OG0000020	KF938901.1_00074	MN432490.1_00122
OG0000021	KF938901.1_00095	MN432490.1_00123
OG0000022	KF938901.1_00031	MN432490.1_00046
OG0000025	KF938901.1_00093	MN432490.1_00065
