Orthogroup	KF938901.1	MW139932.1
OG0000000	KF938901.1_00126	MW139932.1_00033
OG0000001	KF938901.1_00044	MW139932.1_00007
OG0000003	KF938901.1_00080	MW139932.1_00008
OG0000004	KF938901.1_00005	MW139932.1_00015
OG0000005	KF938901.1_00067	MW139932.1_00032
OG0000006	KF938901.1_00072	MW139932.1_00077
OG0000007	KF938901.1_00053	MW139932.1_00091
OG0000008	KF938901.1_00043	MW139932.1_00113
OG0000009	KF938901.1_00114	MW139932.1_00115
OG0000010	KF938901.1_00124	MW139932.1_00005
OG0000011	KF938901.1_00054	MW139932.1_00023
OG0000012	KF938901.1_00047	MW139932.1_00034
OG0000013	KF938901.1_00123	MW139932.1_00036
OG0000014	KF938901.1_00023	MW139932.1_00038
OG0000015	KF938901.1_00060	MW139932.1_00059
OG0000016	KF938901.1_00092	MW139932.1_00065
OG0000017	KF938901.1_00012	MW139932.1_00087
OG0000018	KF938901.1_00046	MW139932.1_00088
OG0000019	KF938901.1_00025	MW139932.1_00108
OG0000020	KF938901.1_00074	MW139932.1_00123
OG0000021	KF938901.1_00095	MW139932.1_00124
OG0000022	KF938901.1_00031	MW139932.1_00047
OG0000025	KF938901.1_00093	MW139932.1_00066
