Orthogroup	KF938901.1	MN803438.1
OG0000000	KF938901.1_00126	MN803438.1_00124
OG0000001	KF938901.1_00044	MN803438.1_00023
OG0000003	KF938901.1_00080	MN803438.1_00101, MN803438.1_00056
OG0000004	KF938901.1_00005	MN803438.1_00113
OG0000005	KF938901.1_00067	MN803438.1_00106
OG0000006	KF938901.1_00072	MN803438.1_00142
OG0000007	KF938901.1_00053	MN803438.1_00027
OG0000008	KF938901.1_00043	MN803438.1_00104
OG0000009	KF938901.1_00114	MN803438.1_00109
OG0000010	KF938901.1_00124	MN803438.1_00089
OG0000011	KF938901.1_00054	MN803438.1_00128
OG0000012	KF938901.1_00047	MN803438.1_00068
OG0000013	KF938901.1_00123	MN803438.1_00035
OG0000014	KF938901.1_00023	MN803438.1_00013
OG0000015	KF938901.1_00060	MN803438.1_00007
OG0000016	KF938901.1_00092	MN803438.1_00049
OG0000017	KF938901.1_00012	MN803438.1_00097
OG0000018	KF938901.1_00046	MN803438.1_00122
OG0000019	KF938901.1_00025	MN803438.1_00051
OG0000020	KF938901.1_00074	MN803438.1_00070
OG0000021	KF938901.1_00095	MN803438.1_00046
OG0000022	KF938901.1_00031	MN803438.1_00077
OG0000137	KF938901.1_00086	MN803438.1_00115
OG0000138	KF938901.1_00007	MN803438.1_00006
OG0000147	KF938901.1_00094	MN803438.1_00024
OG0000148	KF938901.1_00048	MN803438.1_00105
OG0000149	KF938901.1_00108	MN803438.1_00005
OG0000151	KF938901.1_00027	MN803438.1_00003
OG0000155	KF938901.1_00065	MN803438.1_00137
OG0000159	KF938901.1_00017	MN803438.1_00028
OG0000162	KF938901.1_00009	MN803438.1_00092
OG0000167	KF938901.1_00106	MN803438.1_00135
OG0000183	KF938901.1_00137	MN803438.1_00045
