Orthogroup	KF938901.1	HF920633.1
OG0000000	KF938901.1_00126	HF920633.1_00044
OG0000001	KF938901.1_00044	HF920633.1_00073
OG0000003	KF938901.1_00080	HF920633.1_00069
OG0000004	KF938901.1_00005	HF920633.1_00127
OG0000005	KF938901.1_00067	HF920633.1_00043
OG0000006	KF938901.1_00072	HF920633.1_00025
OG0000007	KF938901.1_00053	HF920633.1_00091
OG0000008	KF938901.1_00043	HF920633.1_00079
OG0000009	KF938901.1_00114	HF920633.1_00122
OG0000010	KF938901.1_00124	HF920633.1_00097
OG0000011	KF938901.1_00054	HF920633.1_00001
OG0000012	KF938901.1_00047	HF920633.1_00080
OG0000013	KF938901.1_00123	HF920633.1_00158
OG0000014	KF938901.1_00023	HF920633.1_00175
OG0000015	KF938901.1_00060	HF920633.1_00067
OG0000016	KF938901.1_00092	HF920633.1_00118
OG0000017	KF938901.1_00012	HF920633.1_00163
OG0000018	KF938901.1_00046	HF920633.1_00094
OG0000019	KF938901.1_00025	HF920633.1_00003
OG0000020	KF938901.1_00074	HF920633.1_00138
OG0000021	KF938901.1_00095	HF920633.1_00058
OG0000022	KF938901.1_00031	HF920633.1_00017
OG0000025	KF938901.1_00093	HF920633.1_00047
OG0000121	KF938901.1_00085, KF938901.1_00140	HF920633.1_00057, HF920633.1_00107, HF920633.1_00172, HF920633.1_00170
OG0000125	KF938901.1_00115	HF920633.1_00147
OG0000125	KF938901.1_00020	HF920633.1_00174
OG0000125	KF938901.1_00049	HF920633.1_00130
OG0000137	KF938901.1_00086	HF920633.1_00135
OG0000138	KF938901.1_00007	HF920633.1_00064
OG0000147	KF938901.1_00094	HF920633.1_00062
OG0000148	KF938901.1_00048	HF920633.1_00132
OG0000149	KF938901.1_00108	HF920633.1_00156
OG0000151	KF938901.1_00027	HF920633.1_00024
OG0000154	KF938901.1_00069	HF920633.1_00026
OG0000155	KF938901.1_00065	HF920633.1_00053
OG0000159	KF938901.1_00017	HF920633.1_00171
OG0000161	KF938901.1_00118	HF920633.1_00106
OG0000162	KF938901.1_00009	HF920633.1_00034
OG0000167	KF938901.1_00106	HF920633.1_00036
OG0000176	KF938901.1_00006	HF920633.1_00161
OG0000176	KF938901.1_00105	HF920633.1_00031
OG0000177	KF938901.1_00150	HF920633.1_00046
OG0000178	KF938901.1_00103	HF920633.1_00082
OG0000179	KF938901.1_00112	HF920633.1_00088
OG0000180	KF938901.1_00153	HF920633.1_00096
OG0000181	KF938901.1_00117	HF920633.1_00105
OG0000182	KF938901.1_00102	HF920633.1_00134
OG0000183	KF938901.1_00137	HF920633.1_00139
OG0000184	KF938901.1_00104	HF920633.1_00145
OG0000185	KF938901.1_00128	HF920633.1_00169
OG0000186	KF938901.1_00121	HF920633.1_00177
OG0000200	KF938901.1_00099	HF920633.1_00020, HF920633.1_00021
OG0000201	KF938901.1_00152	HF920633.1_00022
OG0000202	KF938901.1_00008	HF920633.1_00029
OG0000203	KF938901.1_00073	HF920633.1_00032
OG0000204	KF938901.1_00010	HF920633.1_00035
OG0000205	KF938901.1_00075	HF920633.1_00039
OG0000206	KF938901.1_00155	HF920633.1_00041
OG0000207	KF938901.1_00077	HF920633.1_00050
OG0000208	KF938901.1_00070	HF920633.1_00056
OG0000209	KF938901.1_00100	HF920633.1_00103
OG0000210	KF938901.1_00133	HF920633.1_00110
