Orthogroup	Irido_IIV6_AF303741.1	Chlor_IIV22_HF920633.1
OG0000000	Irido_IIV6_AF303741.1_00079, Irido_IIV6_AF303741.1_00152	Chlor_IIV22_HF920633.1_00044
OG0000001	Irido_IIV6_AF303741.1_00125	Chlor_IIV22_HF920633.1_00073
OG0000002	Irido_IIV6_AF303741.1_00200, Irido_IIV6_AF303741.1_00047	Chlor_IIV22_HF920633.1_00069
OG0000003	Irido_IIV6_AF303741.1_00035	Chlor_IIV22_HF920633.1_00127
OG0000004	Irido_IIV6_AF303741.1_00080	Chlor_IIV22_HF920633.1_00079
OG0000005	Irido_IIV6_AF303741.1_00149	Chlor_IIV22_HF920633.1_00091
OG0000006	Irido_IIV6_AF303741.1_00165	Chlor_IIV22_HF920633.1_00043
OG0000007	Irido_IIV6_AF303741.1_00132	Chlor_IIV22_HF920633.1_00025
OG0000008	Irido_IIV6_AF303741.1_00176	Chlor_IIV22_HF920633.1_00122
OG0000009	Irido_IIV6_AF303741.1_00129	Chlor_IIV22_HF920633.1_00085
OG0000011	Irido_IIV6_AF303741.1_00137	Chlor_IIV22_HF920633.1_00163
OG0000012	Irido_IIV6_AF303741.1_00189	Chlor_IIV22_HF920633.1_00175
OG0000013	Irido_IIV6_AF303741.1_00081	Chlor_IIV22_HF920633.1_00003
OG0000014	Irido_IIV6_AF303741.1_00062	Chlor_IIV22_HF920633.1_00094
OG0000015	Irido_IIV6_AF303741.1_00156	Chlor_IIV22_HF920633.1_00080
OG0000016	Irido_IIV6_AF303741.1_00011	Chlor_IIV22_HF920633.1_00001
OG0000017	Irido_IIV6_AF303741.1_00023	Chlor_IIV22_HF920633.1_00067
OG0000018	Irido_IIV6_AF303741.1_00026	Chlor_IIV22_HF920633.1_00138
OG0000019	Irido_IIV6_AF303741.1_00006	Chlor_IIV22_HF920633.1_00118
OG0000020	Irido_IIV6_AF303741.1_00046	Chlor_IIV22_HF920633.1_00058
OG0000021	Irido_IIV6_AF303741.1_00063	Chlor_IIV22_HF920633.1_00158
OG0000022	Irido_IIV6_AF303741.1_00158	Chlor_IIV22_HF920633.1_00097
OG0000023	Irido_IIV6_AF303741.1_00154	Chlor_IIV22_HF920633.1_00017
OG0000024	Irido_IIV6_AF303741.1_00168	Chlor_IIV22_HF920633.1_00062
OG0000025	Irido_IIV6_AF303741.1_00051	Chlor_IIV22_HF920633.1_00047
OG0000113	Irido_IIV6_AF303741.1_00170	Chlor_IIV22_HF920633.1_00086
OG0000113	Irido_IIV6_AF303741.1_00169	Chlor_IIV22_HF920633.1_00145
OG0000119	Irido_IIV6_AF303741.1_00007, Irido_IIV6_AF303741.1_00066, Irido_IIV6_AF303741.1_00173, Irido_IIV6_AF303741.1_00095, Irido_IIV6_AF303741.1_00094, Irido_IIV6_AF303741.1_00109	Chlor_IIV22_HF920633.1_00040, Chlor_IIV22_HF920633.1_00117, Chlor_IIV22_HF920633.1_00143, Chlor_IIV22_HF920633.1_00057, Chlor_IIV22_HF920633.1_00107, Chlor_IIV22_HF920633.1_00172, Chlor_IIV22_HF920633.1_00170
OG0000122	Irido_IIV6_AF303741.1_00005, Irido_IIV6_AF303741.1_00065	Chlor_IIV22_HF920633.1_00116
OG0000123	Irido_IIV6_AF303741.1_00195	Chlor_IIV22_HF920633.1_00007, Chlor_IIV22_HF920633.1_00130, Chlor_IIV22_HF920633.1_00174
OG0000123	Irido_IIV6_AF303741.1_00178, Irido_IIV6_AF303741.1_00121	Chlor_IIV22_HF920633.1_00147
OG0000126	Irido_IIV6_AF303741.1_00088	Chlor_IIV22_HF920633.1_00059, Chlor_IIV22_HF920633.1_00119, Chlor_IIV22_HF920633.1_00081
OG0000133	Irido_IIV6_AF303741.1_00157	Chlor_IIV22_HF920633.1_00064
OG0000134	Irido_IIV6_AF303741.1_00126	Chlor_IIV22_HF920633.1_00135
OG0000135	Irido_IIV6_AF303741.1_00130, Irido_IIV6_AF303741.1_00089	Chlor_IIV22_HF920633.1_00004
OG0000137	Irido_IIV6_AF303741.1_00031	Chlor_IIV22_HF920633.1_00132
OG0000138	Irido_IIV6_AF303741.1_00100, Irido_IIV6_AF303741.1_00162	Chlor_IIV22_HF920633.1_00053
OG0000139	Irido_IIV6_AF303741.1_00101	Chlor_IIV22_HF920633.1_00156
OG0000148	Irido_IIV6_AF303741.1_00072	Chlor_IIV22_HF920633.1_00026
OG0000149	Irido_IIV6_AF303741.1_00185	Chlor_IIV22_HF920633.1_00104
OG0000153	Irido_IIV6_AF303741.1_00182	Chlor_IIV22_HF920633.1_00114
OG0000154	Irido_IIV6_AF303741.1_00183	Chlor_IIV22_HF920633.1_00036
OG0000155	Irido_IIV6_AF303741.1_00145, Irido_IIV6_AF303741.1_00090	Chlor_IIV22_HF920633.1_00088
OG0000156	Irido_IIV6_AF303741.1_00192	Chlor_IIV22_HF920633.1_00106
OG0000157	Irido_IIV6_AF303741.1_00099, Irido_IIV6_AF303741.1_00070	Chlor_IIV22_HF920633.1_00129, Chlor_IIV22_HF920633.1_00099, Chlor_IIV22_HF920633.1_00019, Chlor_IIV22_HF920633.1_00100
OG0000164	Irido_IIV6_AF303741.1_00181	Chlor_IIV22_HF920633.1_00031, Chlor_IIV22_HF920633.1_00161
OG0000167	Irido_IIV6_AF303741.1_00068, Irido_IIV6_AF303741.1_00067	Chlor_IIV22_HF920633.1_00039
OG0000168	Irido_IIV6_AF303741.1_00105	Chlor_IIV22_HF920633.1_00144
OG0000169	Irido_IIV6_AF303741.1_00056	Chlor_IIV22_HF920633.1_00134
OG0000170	Irido_IIV6_AF303741.1_00087	Chlor_IIV22_HF920633.1_00082
OG0000171	Irido_IIV6_AF303741.1_00076	Chlor_IIV22_HF920633.1_00105
OG0000172	Irido_IIV6_AF303741.1_00096	Chlor_IIV22_HF920633.1_00177
OG0000173	Irido_IIV6_AF303741.1_00091	Chlor_IIV22_HF920633.1_00169
OG0000174	Irido_IIV6_AF303741.1_00179	Chlor_IIV22_HF920633.1_00046
OG0000175	Irido_IIV6_AF303741.1_00049, Irido_IIV6_AF303741.1_00078, Irido_IIV6_AF303741.1_00147, Irido_IIV6_AF303741.1_00083	Chlor_IIV22_HF920633.1_00030
OG0000184	Irido_IIV6_AF303741.1_00184	Chlor_IIV22_HF920633.1_00029
OG0000185	Irido_IIV6_AF303741.1_00177	Chlor_IIV22_HF920633.1_00035
OG0000186	Irido_IIV6_AF303741.1_00017	Chlor_IIV22_HF920633.1_00165
OG0000187	Irido_IIV6_AF303741.1_00122	Chlor_IIV22_HF920633.1_00131
OG0000188	Irido_IIV6_AF303741.1_00148	Chlor_IIV22_HF920633.1_00056
OG0000189	Irido_IIV6_AF303741.1_00104	Chlor_IIV22_HF920633.1_00032
OG0000190	Irido_IIV6_AF303741.1_00151	Chlor_IIV22_HF920633.1_00050
OG0000191	Irido_IIV6_AF303741.1_00161	Chlor_IIV22_HF920633.1_00098
OG0000192	Irido_IIV6_AF303741.1_00086	Chlor_IIV22_HF920633.1_00020, Chlor_IIV22_HF920633.1_00021
OG0000193	Irido_IIV6_AF303741.1_00085	Chlor_IIV22_HF920633.1_00103
OG0000194	Irido_IIV6_AF303741.1_00193	Chlor_IIV22_HF920633.1_00121
OG0000195	Irido_IIV6_AF303741.1_00003	Chlor_IIV22_HF920633.1_00128
OG0000196	Irido_IIV6_AF303741.1_00004	Chlor_IIV22_HF920633.1_00110
OG0000197	Irido_IIV6_AF303741.1_00136	Chlor_IIV22_HF920633.1_00120
OG0000199	Irido_IIV6_AF303741.1_00146	Chlor_IIV22_HF920633.1_00146
OG0000200	Irido_IIV6_AF303741.1_00015	Chlor_IIV22_HF920633.1_00149
OG0000201	Irido_IIV6_AF303741.1_00150	Chlor_IIV22_HF920633.1_00123
OG0000202	Irido_IIV6_AF303741.1_00197	Chlor_IIV22_HF920633.1_00125
OG0000203	Irido_IIV6_AF303741.1_00112	Chlor_IIV22_HF920633.1_00022
OG0000214	Irido_IIV6_AF303741.1_00074	Chlor_IIV22_HF920633.1_00018
OG0000215	Irido_IIV6_AF303741.1_00160	Chlor_IIV22_HF920633.1_00013
OG0000216	Irido_IIV6_AF303741.1_00124	Chlor_IIV22_HF920633.1_00074
OG0000217	Irido_IIV6_AF303741.1_00042	Chlor_IIV22_HF920633.1_00063
OG0000218	Irido_IIV6_AF303741.1_00175	Chlor_IIV22_HF920633.1_00113
OG0000219	Irido_IIV6_AF303741.1_00044	Chlor_IIV22_HF920633.1_00160
OG0000220	Irido_IIV6_AF303741.1_00135	Chlor_IIV22_HF920633.1_00087
OG0000221	Irido_IIV6_AF303741.1_00107	Chlor_IIV22_HF920633.1_00023
OG0000222	Irido_IIV6_AF303741.1_00203	Chlor_IIV22_HF920633.1_00037
OG0000223	Irido_IIV6_AF303741.1_00064	Chlor_IIV22_HF920633.1_00061
OG0000224	Irido_IIV6_AF303741.1_00018	Chlor_IIV22_HF920633.1_00008
OG0000225	Irido_IIV6_AF303741.1_00120	Chlor_IIV22_HF920633.1_00102
OG0000226	Irido_IIV6_AF303741.1_00204	Chlor_IIV22_HF920633.1_00155
