Orthogroup	Irido_IIV6_AF303741.1	Lymph_LDV1_L63545.1
OG0000000	Irido_IIV6_AF303741.1_00079, Irido_IIV6_AF303741.1_00152	Lymph_LDV1_L63545.1_00007
OG0000001	Irido_IIV6_AF303741.1_00125	Lymph_LDV1_L63545.1_00079
OG0000002	Irido_IIV6_AF303741.1_00200, Irido_IIV6_AF303741.1_00047	Lymph_LDV1_L63545.1_00035
OG0000003	Irido_IIV6_AF303741.1_00035	Lymph_LDV1_L63545.1_00076
OG0000004	Irido_IIV6_AF303741.1_00080	Lymph_LDV1_L63545.1_00001
OG0000005	Irido_IIV6_AF303741.1_00149	Lymph_LDV1_L63545.1_00090
OG0000006	Irido_IIV6_AF303741.1_00165	Lymph_LDV1_L63545.1_00108
OG0000007	Irido_IIV6_AF303741.1_00132	Lymph_LDV1_L63545.1_00093
OG0000008	Irido_IIV6_AF303741.1_00176	Lymph_LDV1_L63545.1_00024
OG0000009	Irido_IIV6_AF303741.1_00129	Lymph_LDV1_L63545.1_00056
OG0000011	Irido_IIV6_AF303741.1_00137	Lymph_LDV1_L63545.1_00009
OG0000012	Irido_IIV6_AF303741.1_00189	Lymph_LDV1_L63545.1_00013
OG0000013	Irido_IIV6_AF303741.1_00081	Lymph_LDV1_L63545.1_00068
OG0000014	Irido_IIV6_AF303741.1_00062	Lymph_LDV1_L63545.1_00073
OG0000015	Irido_IIV6_AF303741.1_00156	Lymph_LDV1_L63545.1_00098
OG0000016	Irido_IIV6_AF303741.1_00011	Lymph_LDV1_L63545.1_00071
OG0000017	Irido_IIV6_AF303741.1_00023	Lymph_LDV1_L63545.1_00004
OG0000018	Irido_IIV6_AF303741.1_00026	Lymph_LDV1_L63545.1_00030
OG0000019	Irido_IIV6_AF303741.1_00006	Lymph_LDV1_L63545.1_00069
OG0000020	Irido_IIV6_AF303741.1_00046	Lymph_LDV1_L63545.1_00110
OG0000021	Irido_IIV6_AF303741.1_00063	Lymph_LDV1_L63545.1_00072
OG0000022	Irido_IIV6_AF303741.1_00158	Lymph_LDV1_L63545.1_00043
OG0000023	Irido_IIV6_AF303741.1_00154	Lymph_LDV1_L63545.1_00054
OG0000024	Irido_IIV6_AF303741.1_00168	Lymph_LDV1_L63545.1_00015
OG0000113	Irido_IIV6_AF303741.1_00170	Lymph_LDV1_L63545.1_00042
OG0000113	Irido_IIV6_AF303741.1_00169	Lymph_LDV1_L63545.1_00005, Lymph_LDV1_L63545.1_00088, Lymph_LDV1_L63545.1_00051, Lymph_LDV1_L63545.1_00047, Lymph_LDV1_L63545.1_00050
OG0000133	Irido_IIV6_AF303741.1_00157	Lymph_LDV1_L63545.1_00016
OG0000134	Irido_IIV6_AF303741.1_00126	Lymph_LDV1_L63545.1_00092
OG0000137	Irido_IIV6_AF303741.1_00031	Lymph_LDV1_L63545.1_00100
OG0000138	Irido_IIV6_AF303741.1_00100, Irido_IIV6_AF303741.1_00162	Lymph_LDV1_L63545.1_00023
OG0000154	Irido_IIV6_AF303741.1_00183	Lymph_LDV1_L63545.1_00012
