Orthogroup	Irido_IIV6_AF303741.1	MCV_ML1_SDDV_MN562489.1
OG0000000	Irido_IIV6_AF303741.1_00079, Irido_IIV6_AF303741.1_00152	MCV_ML1_SDDV_MN562489.1_00102
OG0000001	Irido_IIV6_AF303741.1_00125	MCV_ML1_SDDV_MN562489.1_00080
OG0000002	Irido_IIV6_AF303741.1_00200, Irido_IIV6_AF303741.1_00047	MCV_ML1_SDDV_MN562489.1_00081
OG0000003	Irido_IIV6_AF303741.1_00035	MCV_ML1_SDDV_MN562489.1_00087
OG0000004	Irido_IIV6_AF303741.1_00080	MCV_ML1_SDDV_MN562489.1_00060
OG0000005	Irido_IIV6_AF303741.1_00149	MCV_ML1_SDDV_MN562489.1_00052
OG0000006	Irido_IIV6_AF303741.1_00165	MCV_ML1_SDDV_MN562489.1_00099
OG0000007	Irido_IIV6_AF303741.1_00132	MCV_ML1_SDDV_MN562489.1_00116
OG0000008	Irido_IIV6_AF303741.1_00176	MCV_ML1_SDDV_MN562489.1_00059
OG0000009	Irido_IIV6_AF303741.1_00129	MCV_ML1_SDDV_MN562489.1_00056
OG0000011	Irido_IIV6_AF303741.1_00137	MCV_ML1_SDDV_MN562489.1_00046
OG0000012	Irido_IIV6_AF303741.1_00189	MCV_ML1_SDDV_MN562489.1_00008
OG0000013	Irido_IIV6_AF303741.1_00081	MCV_ML1_SDDV_MN562489.1_00063
OG0000014	Irido_IIV6_AF303741.1_00062	MCV_ML1_SDDV_MN562489.1_00047
OG0000015	Irido_IIV6_AF303741.1_00156	MCV_ML1_SDDV_MN562489.1_00012
OG0000016	Irido_IIV6_AF303741.1_00011	MCV_ML1_SDDV_MN562489.1_00096
OG0000017	Irido_IIV6_AF303741.1_00023	MCV_ML1_SDDV_MN562489.1_00038
OG0000018	Irido_IIV6_AF303741.1_00026	MCV_ML1_SDDV_MN562489.1_00058
OG0000019	Irido_IIV6_AF303741.1_00006	MCV_ML1_SDDV_MN562489.1_00128
OG0000020	Irido_IIV6_AF303741.1_00046	MCV_ML1_SDDV_MN562489.1_00133
OG0000021	Irido_IIV6_AF303741.1_00063	MCV_ML1_SDDV_MN562489.1_00011
OG0000022	Irido_IIV6_AF303741.1_00158	MCV_ML1_SDDV_MN562489.1_00124
OG0000023	Irido_IIV6_AF303741.1_00154	MCV_ML1_SDDV_MN562489.1_00023
OG0000024	Irido_IIV6_AF303741.1_00168	MCV_ML1_SDDV_MN562489.1_00073
OG0000025	Irido_IIV6_AF303741.1_00051	MCV_ML1_SDDV_MN562489.1_00113
OG0000139	Irido_IIV6_AF303741.1_00101	MCV_ML1_SDDV_MN562489.1_00069
OG0000178	Irido_IIV6_AF303741.1_00117	MCV_ML1_SDDV_MN562489.1_00114
OG0000179	Irido_IIV6_AF303741.1_00009	MCV_ML1_SDDV_MN562489.1_00115
