Orthogroup	Irido_IIV6_AF303741.1	MCV_Unlassified_OL310752.1
OG0000000	Irido_IIV6_AF303741.1_00079, Irido_IIV6_AF303741.1_00152	MCV_Unlassified_OL310752.1_00113, MCV_Unlassified_OL310752.1_00108
OG0000001	Irido_IIV6_AF303741.1_00125	MCV_Unlassified_OL310752.1_00019
OG0000002	Irido_IIV6_AF303741.1_00200, Irido_IIV6_AF303741.1_00047	MCV_Unlassified_OL310752.1_00018
OG0000003	Irido_IIV6_AF303741.1_00035	MCV_Unlassified_OL310752.1_00012
OG0000004	Irido_IIV6_AF303741.1_00080	MCV_Unlassified_OL310752.1_00060
OG0000005	Irido_IIV6_AF303741.1_00149	MCV_Unlassified_OL310752.1_00042
OG0000006	Irido_IIV6_AF303741.1_00165	MCV_Unlassified_OL310752.1_00107
OG0000007	Irido_IIV6_AF303741.1_00132	MCV_Unlassified_OL310752.1_00078
OG0000008	Irido_IIV6_AF303741.1_00176	MCV_Unlassified_OL310752.1_00116
OG0000009	Irido_IIV6_AF303741.1_00129	MCV_Unlassified_OL310752.1_00036
OG0000011	Irido_IIV6_AF303741.1_00137	MCV_Unlassified_OL310752.1_00046
OG0000012	Irido_IIV6_AF303741.1_00189	MCV_Unlassified_OL310752.1_00083
OG0000013	Irido_IIV6_AF303741.1_00081	MCV_Unlassified_OL310752.1_00065
OG0000014	Irido_IIV6_AF303741.1_00062	MCV_Unlassified_OL310752.1_00045
OG0000015	Irido_IIV6_AF303741.1_00156	MCV_Unlassified_OL310752.1_00114
OG0000016	Irido_IIV6_AF303741.1_00011	MCV_Unlassified_OL310752.1_00004
OG0000017	Irido_IIV6_AF303741.1_00023	MCV_Unlassified_OL310752.1_00096
OG0000018	Irido_IIV6_AF303741.1_00026	MCV_Unlassified_OL310752.1_00071
OG0000019	Irido_IIV6_AF303741.1_00006	MCV_Unlassified_OL310752.1_00027
OG0000020	Irido_IIV6_AF303741.1_00046	MCV_Unlassified_OL310752.1_00072
OG0000021	Irido_IIV6_AF303741.1_00063	MCV_Unlassified_OL310752.1_00085
OG0000022	Irido_IIV6_AF303741.1_00158	MCV_Unlassified_OL310752.1_00021
OG0000023	Irido_IIV6_AF303741.1_00154	MCV_Unlassified_OL310752.1_00052
OG0000024	Irido_IIV6_AF303741.1_00168	MCV_Unlassified_OL310752.1_00104
OG0000025	Irido_IIV6_AF303741.1_00051	MCV_Unlassified_OL310752.1_00028
