Orthogroup	Irido_IIV6_AF303741.1	Irido_IIV31_HF920637.1
OG0000000	Irido_IIV6_AF303741.1_00079	Irido_IIV31_HF920637.1_00129
OG0000000	Irido_IIV6_AF303741.1_00152	Irido_IIV31_HF920637.1_00164
OG0000001	Irido_IIV6_AF303741.1_00125	Irido_IIV31_HF920637.1_00143
OG0000002	Irido_IIV6_AF303741.1_00200, Irido_IIV6_AF303741.1_00047	Irido_IIV31_HF920637.1_00059
OG0000003	Irido_IIV6_AF303741.1_00035	Irido_IIV31_HF920637.1_00159
OG0000004	Irido_IIV6_AF303741.1_00080	Irido_IIV31_HF920637.1_00025
OG0000005	Irido_IIV6_AF303741.1_00149	Irido_IIV31_HF920637.1_00172
OG0000006	Irido_IIV6_AF303741.1_00165	Irido_IIV31_HF920637.1_00176, Irido_IIV31_HF920637.1_00175
OG0000007	Irido_IIV6_AF303741.1_00132	Irido_IIV31_HF920637.1_00121
OG0000008	Irido_IIV6_AF303741.1_00176	Irido_IIV31_HF920637.1_00153
OG0000009	Irido_IIV6_AF303741.1_00129	Irido_IIV31_HF920637.1_00221
OG0000011	Irido_IIV6_AF303741.1_00137	Irido_IIV31_HF920637.1_00197
OG0000012	Irido_IIV6_AF303741.1_00189	Irido_IIV31_HF920637.1_00213
OG0000013	Irido_IIV6_AF303741.1_00081	Irido_IIV31_HF920637.1_00111
OG0000014	Irido_IIV6_AF303741.1_00062	Irido_IIV31_HF920637.1_00079
OG0000015	Irido_IIV6_AF303741.1_00156	Irido_IIV31_HF920637.1_00031
OG0000016	Irido_IIV6_AF303741.1_00011	Irido_IIV31_HF920637.1_00001
OG0000017	Irido_IIV6_AF303741.1_00023	Irido_IIV31_HF920637.1_00017
OG0000018	Irido_IIV6_AF303741.1_00026	Irido_IIV31_HF920637.1_00108
OG0000019	Irido_IIV6_AF303741.1_00006	Irido_IIV31_HF920637.1_00217
OG0000020	Irido_IIV6_AF303741.1_00046	Irido_IIV31_HF920637.1_00152
OG0000021	Irido_IIV6_AF303741.1_00063	Irido_IIV31_HF920637.1_00073
OG0000022	Irido_IIV6_AF303741.1_00158	Irido_IIV31_HF920637.1_00041
OG0000023	Irido_IIV6_AF303741.1_00154	Irido_IIV31_HF920637.1_00033
OG0000024	Irido_IIV6_AF303741.1_00168	Irido_IIV31_HF920637.1_00061
OG0000025	Irido_IIV6_AF303741.1_00051	Irido_IIV31_HF920637.1_00156
OG0000113	Irido_IIV6_AF303741.1_00170	Irido_IIV31_HF920637.1_00138
OG0000113	Irido_IIV6_AF303741.1_00169	Irido_IIV31_HF920637.1_00148
OG0000119	Irido_IIV6_AF303741.1_00007	Irido_IIV31_HF920637.1_00184
OG0000119	Irido_IIV6_AF303741.1_00066	Irido_IIV31_HF920637.1_00034
OG0000119	Irido_IIV6_AF303741.1_00173	Irido_IIV31_HF920637.1_00158, Irido_IIV31_HF920637.1_00208, Irido_IIV31_HF920637.1_00130
OG0000119	Irido_IIV6_AF303741.1_00095	Irido_IIV31_HF920637.1_00102
OG0000122	Irido_IIV6_AF303741.1_00005, Irido_IIV6_AF303741.1_00065	Irido_IIV31_HF920637.1_00183
OG0000123	Irido_IIV6_AF303741.1_00195	Irido_IIV31_HF920637.1_00029
OG0000123	Irido_IIV6_AF303741.1_00178, Irido_IIV6_AF303741.1_00121	Irido_IIV31_HF920637.1_00147, Irido_IIV31_HF920637.1_00218
OG0000133	Irido_IIV6_AF303741.1_00157	Irido_IIV31_HF920637.1_00014
OG0000134	Irido_IIV6_AF303741.1_00126	Irido_IIV31_HF920637.1_00219
OG0000135	Irido_IIV6_AF303741.1_00130	Irido_IIV31_HF920637.1_00057
OG0000135	Irido_IIV6_AF303741.1_00089	Irido_IIV31_HF920637.1_00216
OG0000137	Irido_IIV6_AF303741.1_00031	Irido_IIV31_HF920637.1_00105
OG0000138	Irido_IIV6_AF303741.1_00100, Irido_IIV6_AF303741.1_00162	Irido_IIV31_HF920637.1_00181
OG0000139	Irido_IIV6_AF303741.1_00101	Irido_IIV31_HF920637.1_00123
OG0000148	Irido_IIV6_AF303741.1_00072	Irido_IIV31_HF920637.1_00060
OG0000149	Irido_IIV6_AF303741.1_00185	Irido_IIV31_HF920637.1_00169
OG0000153	Irido_IIV6_AF303741.1_00182	Irido_IIV31_HF920637.1_00071
OG0000154	Irido_IIV6_AF303741.1_00183	Irido_IIV31_HF920637.1_00168
OG0000155	Irido_IIV6_AF303741.1_00145	Irido_IIV31_HF920637.1_00011
OG0000155	Irido_IIV6_AF303741.1_00090	Irido_IIV31_HF920637.1_00180
OG0000156	Irido_IIV6_AF303741.1_00192	Irido_IIV31_HF920637.1_00150
OG0000157	Irido_IIV6_AF303741.1_00099, Irido_IIV6_AF303741.1_00070	Irido_IIV31_HF920637.1_00151
OG0000164	Irido_IIV6_AF303741.1_00181	Irido_IIV31_HF920637.1_00069
OG0000167	Irido_IIV6_AF303741.1_00068, Irido_IIV6_AF303741.1_00067	Irido_IIV31_HF920637.1_00140
OG0000169	Irido_IIV6_AF303741.1_00056	Irido_IIV31_HF920637.1_00056
OG0000170	Irido_IIV6_AF303741.1_00087	Irido_IIV31_HF920637.1_00049
OG0000171	Irido_IIV6_AF303741.1_00076	Irido_IIV31_HF920637.1_00095
OG0000172	Irido_IIV6_AF303741.1_00096	Irido_IIV31_HF920637.1_00045
OG0000173	Irido_IIV6_AF303741.1_00091	Irido_IIV31_HF920637.1_00120
OG0000174	Irido_IIV6_AF303741.1_00179	Irido_IIV31_HF920637.1_00067
OG0000175	Irido_IIV6_AF303741.1_00049, Irido_IIV6_AF303741.1_00078, Irido_IIV6_AF303741.1_00147, Irido_IIV6_AF303741.1_00083	Irido_IIV31_HF920637.1_00116
OG0000179	Irido_IIV6_AF303741.1_00009	Irido_IIV31_HF920637.1_00013
OG0000184	Irido_IIV6_AF303741.1_00184	Irido_IIV31_HF920637.1_00009
OG0000185	Irido_IIV6_AF303741.1_00177	Irido_IIV31_HF920637.1_00035
OG0000186	Irido_IIV6_AF303741.1_00017	Irido_IIV31_HF920637.1_00212
OG0000187	Irido_IIV6_AF303741.1_00122	Irido_IIV31_HF920637.1_00019
OG0000188	Irido_IIV6_AF303741.1_00148	Irido_IIV31_HF920637.1_00160
OG0000190	Irido_IIV6_AF303741.1_00151	Irido_IIV31_HF920637.1_00070
OG0000191	Irido_IIV6_AF303741.1_00161	Irido_IIV31_HF920637.1_00194
OG0000192	Irido_IIV6_AF303741.1_00086	Irido_IIV31_HF920637.1_00048
OG0000193	Irido_IIV6_AF303741.1_00085	Irido_IIV31_HF920637.1_00047
OG0000194	Irido_IIV6_AF303741.1_00193	Irido_IIV31_HF920637.1_00149
OG0000195	Irido_IIV6_AF303741.1_00003	Irido_IIV31_HF920637.1_00020
OG0000196	Irido_IIV6_AF303741.1_00004	Irido_IIV31_HF920637.1_00139
OG0000197	Irido_IIV6_AF303741.1_00136	Irido_IIV31_HF920637.1_00193
OG0000199	Irido_IIV6_AF303741.1_00146	Irido_IIV31_HF920637.1_00043
OG0000200	Irido_IIV6_AF303741.1_00015	Irido_IIV31_HF920637.1_00100
OG0000201	Irido_IIV6_AF303741.1_00150	Irido_IIV31_HF920637.1_00192
OG0000202	Irido_IIV6_AF303741.1_00197	Irido_IIV31_HF920637.1_00005
OG0000203	Irido_IIV6_AF303741.1_00112	Irido_IIV31_HF920637.1_00085
OG0000206	Irido_IIV6_AF303741.1_00174	Irido_IIV31_HF920637.1_00133, Irido_IIV31_HF920637.1_00142, Irido_IIV31_HF920637.1_00136
OG0000207	Irido_IIV6_AF303741.1_00141, Irido_IIV6_AF303741.1_00142	Irido_IIV31_HF920637.1_00122
OG0000207	Irido_IIV6_AF303741.1_00001	Irido_IIV31_HF920637.1_00062
OG0000215	Irido_IIV6_AF303741.1_00160	Irido_IIV31_HF920637.1_00195
OG0000216	Irido_IIV6_AF303741.1_00124	Irido_IIV31_HF920637.1_00144
OG0000217	Irido_IIV6_AF303741.1_00042	Irido_IIV31_HF920637.1_00188
OG0000218	Irido_IIV6_AF303741.1_00175	Irido_IIV31_HF920637.1_00012
OG0000219	Irido_IIV6_AF303741.1_00044	Irido_IIV31_HF920637.1_00187
OG0000220	Irido_IIV6_AF303741.1_00135	Irido_IIV31_HF920637.1_00167
OG0000221	Irido_IIV6_AF303741.1_00107	Irido_IIV31_HF920637.1_00204
OG0000222	Irido_IIV6_AF303741.1_00203	Irido_IIV31_HF920637.1_00022
OG0000223	Irido_IIV6_AF303741.1_00064	Irido_IIV31_HF920637.1_00074
OG0000224	Irido_IIV6_AF303741.1_00018	Irido_IIV31_HF920637.1_00211
OG0000225	Irido_IIV6_AF303741.1_00120	Irido_IIV31_HF920637.1_00124
OG0000226	Irido_IIV6_AF303741.1_00204	Irido_IIV31_HF920637.1_00021
OG0000227	Irido_IIV6_AF303741.1_00159	Irido_IIV31_HF920637.1_00040
OG0000228	Irido_IIV6_AF303741.1_00008	Irido_IIV31_HF920637.1_00215
OG0000232	Irido_IIV6_AF303741.1_00024	Irido_IIV31_HF920637.1_00083, Irido_IIV31_HF920637.1_00008, Irido_IIV31_HF920637.1_00200
OG0000233	Irido_IIV6_AF303741.1_00012	Irido_IIV31_HF920637.1_00177, Irido_IIV31_HF920637.1_00065, Irido_IIV31_HF920637.1_00115
OG0000282	Irido_IIV6_AF303741.1_00053	Irido_IIV31_HF920637.1_00053
OG0000283	Irido_IIV6_AF303741.1_00093	Irido_IIV31_HF920637.1_00174
OG0000290	Irido_IIV6_AF303741.1_00201	Irido_IIV31_HF920637.1_00063
OG0000295	Irido_IIV6_AF303741.1_00077	Irido_IIV31_HF920637.1_00090
