Orthogroup	Rana_SGIV_AY521625.1	Irido_IIV6_AF303741.1
OG0000000	Rana_SGIV_AY521625.1_00091	Irido_IIV6_AF303741.1_00079, Irido_IIV6_AF303741.1_00152
OG0000001	Rana_SGIV_AY521625.1_00064	Irido_IIV6_AF303741.1_00125
OG0000002	Rana_SGIV_AY521625.1_00077	Irido_IIV6_AF303741.1_00200, Irido_IIV6_AF303741.1_00047
OG0000003	Rana_SGIV_AY521625.1_00130	Irido_IIV6_AF303741.1_00035
OG0000004	Rana_SGIV_AY521625.1_00069, Rana_SGIV_AY521625.1_00070	Irido_IIV6_AF303741.1_00080
OG0000005	Rana_SGIV_AY521625.1_00016	Irido_IIV6_AF303741.1_00149
OG0000006	Rana_SGIV_AY521625.1_00085	Irido_IIV6_AF303741.1_00165
OG0000007	Rana_SGIV_AY521625.1_00051	Irido_IIV6_AF303741.1_00132
OG0000008	Rana_SGIV_AY521625.1_00142	Irido_IIV6_AF303741.1_00176
OG0000009	Rana_SGIV_AY521625.1_00100	Irido_IIV6_AF303741.1_00129
OG0000011	Rana_SGIV_AY521625.1_00086	Irido_IIV6_AF303741.1_00137
OG0000012	Rana_SGIV_AY521625.1_00065	Irido_IIV6_AF303741.1_00189
OG0000013	Rana_SGIV_AY521625.1_00047	Irido_IIV6_AF303741.1_00081
OG0000014	Rana_SGIV_AY521625.1_00073	Irido_IIV6_AF303741.1_00062
OG0000015	Rana_SGIV_AY521625.1_00074	Irido_IIV6_AF303741.1_00156
OG0000016	Rana_SGIV_AY521625.1_00110	Irido_IIV6_AF303741.1_00011
OG0000017	Rana_SGIV_AY521625.1_00048	Irido_IIV6_AF303741.1_00023
OG0000018	Rana_SGIV_AY521625.1_00115	Irido_IIV6_AF303741.1_00026
OG0000019	Rana_SGIV_AY521625.1_00053	Irido_IIV6_AF303741.1_00006
OG0000020	Rana_SGIV_AY521625.1_00035	Irido_IIV6_AF303741.1_00046
OG0000021	Rana_SGIV_AY521625.1_00059	Irido_IIV6_AF303741.1_00063
OG0000022	Rana_SGIV_AY521625.1_00054	Irido_IIV6_AF303741.1_00158
OG0000023	Rana_SGIV_AY521625.1_00062	Irido_IIV6_AF303741.1_00154
OG0000024	Rana_SGIV_AY521625.1_00042	Irido_IIV6_AF303741.1_00168
OG0000113	Rana_SGIV_AY521625.1_00036	Irido_IIV6_AF303741.1_00170
OG0000133	Rana_SGIV_AY521625.1_00102	Irido_IIV6_AF303741.1_00157
OG0000134	Rana_SGIV_AY521625.1_00098	Irido_IIV6_AF303741.1_00126
OG0000137	Rana_SGIV_AY521625.1_00056	Irido_IIV6_AF303741.1_00031
OG0000148	Rana_SGIV_AY521625.1_00133	Irido_IIV6_AF303741.1_00072
OG0000156	Rana_SGIV_AY521625.1_00044	Irido_IIV6_AF303741.1_00192
OG0000168	Rana_SGIV_AY521625.1_00014	Irido_IIV6_AF303741.1_00105
