Orthogroup	Rana_SGIV_AY521625.1	MCV_MP1_SKIV_MT986830.1
OG0000000	Rana_SGIV_AY521625.1_00091	MCV_MP1_SKIV_MT986830.1_00033
OG0000001	Rana_SGIV_AY521625.1_00064	MCV_MP1_SKIV_MT986830.1_00007
OG0000002	Rana_SGIV_AY521625.1_00077	MCV_MP1_SKIV_MT986830.1_00008
OG0000003	Rana_SGIV_AY521625.1_00130	MCV_MP1_SKIV_MT986830.1_00015
OG0000004	Rana_SGIV_AY521625.1_00069, Rana_SGIV_AY521625.1_00070	MCV_MP1_SKIV_MT986830.1_00116
OG0000005	Rana_SGIV_AY521625.1_00016	MCV_MP1_SKIV_MT986830.1_00094
OG0000006	Rana_SGIV_AY521625.1_00085	MCV_MP1_SKIV_MT986830.1_00032
OG0000007	Rana_SGIV_AY521625.1_00051	MCV_MP1_SKIV_MT986830.1_00080
OG0000008	Rana_SGIV_AY521625.1_00142	MCV_MP1_SKIV_MT986830.1_00117
OG0000009	Rana_SGIV_AY521625.1_00100	MCV_MP1_SKIV_MT986830.1_00100
OG0000011	Rana_SGIV_AY521625.1_00086	MCV_MP1_SKIV_MT986830.1_00090
OG0000012	Rana_SGIV_AY521625.1_00065	MCV_MP1_SKIV_MT986830.1_00038
OG0000013	Rana_SGIV_AY521625.1_00047	MCV_MP1_SKIV_MT986830.1_00111
OG0000014	Rana_SGIV_AY521625.1_00073	MCV_MP1_SKIV_MT986830.1_00091
OG0000015	Rana_SGIV_AY521625.1_00074	MCV_MP1_SKIV_MT986830.1_00034
OG0000016	Rana_SGIV_AY521625.1_00110	MCV_MP1_SKIV_MT986830.1_00022
OG0000017	Rana_SGIV_AY521625.1_00048	MCV_MP1_SKIV_MT986830.1_00059
OG0000018	Rana_SGIV_AY521625.1_00115	MCV_MP1_SKIV_MT986830.1_00125
OG0000019	Rana_SGIV_AY521625.1_00053	MCV_MP1_SKIV_MT986830.1_00065
OG0000020	Rana_SGIV_AY521625.1_00035	MCV_MP1_SKIV_MT986830.1_00126
OG0000021	Rana_SGIV_AY521625.1_00059	MCV_MP1_SKIV_MT986830.1_00036
OG0000022	Rana_SGIV_AY521625.1_00054	MCV_MP1_SKIV_MT986830.1_00005
OG0000023	Rana_SGIV_AY521625.1_00062	MCV_MP1_SKIV_MT986830.1_00046
OG0000024	Rana_SGIV_AY521625.1_00042	MCV_MP1_SKIV_MT986830.1_00029
OG0000026	Rana_SGIV_AY521625.1_00060	MCV_MP1_SKIV_MT986830.1_00114
OG0000027	Rana_SGIV_AY521625.1_00022	MCV_MP1_SKIV_MT986830.1_00092
OG0000032	Rana_SGIV_AY521625.1_00004	MCV_MP1_SKIV_MT986830.1_00001
