Orthogroup	Rana_SGIV_AY521625.1	Irido_IIV31_HF920637.1
OG0000000	Rana_SGIV_AY521625.1_00091	Irido_IIV31_HF920637.1_00129, Irido_IIV31_HF920637.1_00164
OG0000001	Rana_SGIV_AY521625.1_00064	Irido_IIV31_HF920637.1_00143
OG0000002	Rana_SGIV_AY521625.1_00077	Irido_IIV31_HF920637.1_00059
OG0000003	Rana_SGIV_AY521625.1_00130	Irido_IIV31_HF920637.1_00159
OG0000004	Rana_SGIV_AY521625.1_00069, Rana_SGIV_AY521625.1_00070	Irido_IIV31_HF920637.1_00025
OG0000005	Rana_SGIV_AY521625.1_00016	Irido_IIV31_HF920637.1_00172
OG0000006	Rana_SGIV_AY521625.1_00085	Irido_IIV31_HF920637.1_00176, Irido_IIV31_HF920637.1_00175
OG0000007	Rana_SGIV_AY521625.1_00051	Irido_IIV31_HF920637.1_00121
OG0000008	Rana_SGIV_AY521625.1_00142	Irido_IIV31_HF920637.1_00153
OG0000009	Rana_SGIV_AY521625.1_00100	Irido_IIV31_HF920637.1_00221
OG0000011	Rana_SGIV_AY521625.1_00086	Irido_IIV31_HF920637.1_00197
OG0000012	Rana_SGIV_AY521625.1_00065	Irido_IIV31_HF920637.1_00213
OG0000013	Rana_SGIV_AY521625.1_00047	Irido_IIV31_HF920637.1_00111
OG0000014	Rana_SGIV_AY521625.1_00073	Irido_IIV31_HF920637.1_00079
OG0000015	Rana_SGIV_AY521625.1_00074	Irido_IIV31_HF920637.1_00031
OG0000016	Rana_SGIV_AY521625.1_00110	Irido_IIV31_HF920637.1_00001
OG0000017	Rana_SGIV_AY521625.1_00048	Irido_IIV31_HF920637.1_00017
OG0000018	Rana_SGIV_AY521625.1_00115	Irido_IIV31_HF920637.1_00108
OG0000019	Rana_SGIV_AY521625.1_00053	Irido_IIV31_HF920637.1_00217
OG0000020	Rana_SGIV_AY521625.1_00035	Irido_IIV31_HF920637.1_00152
OG0000021	Rana_SGIV_AY521625.1_00059	Irido_IIV31_HF920637.1_00073
OG0000022	Rana_SGIV_AY521625.1_00054	Irido_IIV31_HF920637.1_00041
OG0000023	Rana_SGIV_AY521625.1_00062	Irido_IIV31_HF920637.1_00033
OG0000024	Rana_SGIV_AY521625.1_00042	Irido_IIV31_HF920637.1_00061
OG0000113	Rana_SGIV_AY521625.1_00036	Irido_IIV31_HF920637.1_00138
OG0000133	Rana_SGIV_AY521625.1_00102	Irido_IIV31_HF920637.1_00014
OG0000134	Rana_SGIV_AY521625.1_00098	Irido_IIV31_HF920637.1_00219
OG0000137	Rana_SGIV_AY521625.1_00056	Irido_IIV31_HF920637.1_00105
OG0000148	Rana_SGIV_AY521625.1_00133	Irido_IIV31_HF920637.1_00060
OG0000156	Rana_SGIV_AY521625.1_00044	Irido_IIV31_HF920637.1_00150
OG0000160	Rana_SGIV_AY521625.1_00126	Irido_IIV31_HF920637.1_00072
