Orthogroup	MW139932.1	LS484712.1
OG0000000	MW139932.1_00033	LS484712.1_00114
OG0000001	MW139932.1_00008	LS484712.1_00095
OG0000002	MW139932.1_00007	LS484712.1_00142
OG0000003	MW139932.1_00015	LS484712.1_00187
OG0000005	MW139932.1_00096	LS484712.1_00256
OG0000006	MW139932.1_00077	LS484712.1_00040
OG0000007	MW139932.1_00091	LS484712.1_00234, LS484712.1_00050
OG0000008	MW139932.1_00032	LS484712.1_00248
OG0000009	MW139932.1_00115	LS484712.1_00130
OG0000011	MW139932.1_00065	LS484712.1_00203
OG0000012	MW139932.1_00023	LS484712.1_00200
OG0000013	MW139932.1_00059	LS484712.1_00143
OG0000014	MW139932.1_00123	LS484712.1_00202
OG0000015	MW139932.1_00124	LS484712.1_00135
OG0000016	MW139932.1_00088	LS484712.1_00048
OG0000017	MW139932.1_00036	LS484712.1_00240
OG0000018	MW139932.1_00108	LS484712.1_00053
OG0000019	MW139932.1_00087	LS484712.1_00192
OG0000020	MW139932.1_00034	LS484712.1_00188
OG0000021	MW139932.1_00005	LS484712.1_00096
OG0000022	MW139932.1_00038	LS484712.1_00194
OG0000023	MW139932.1_00047	LS484712.1_00117
OG0000024	MW139932.1_00029	LS484712.1_00149
OG0000068	MW139932.1_00069	LS484712.1_00002
