Orthogroup	MW139932.1	OM037668.1
OG0000000	MW139932.1_00033	OM037668.1_00035
OG0000001	MW139932.1_00008	OM037668.1_00056
OG0000002	MW139932.1_00007	OM037668.1_00057
OG0000003	MW139932.1_00015	OM037668.1_00050
OG0000004	MW139932.1_00113	OM037668.1_00076
OG0000005	MW139932.1_00096	OM037668.1_00080
OG0000006	MW139932.1_00077	OM037668.1_00021
OG0000007	MW139932.1_00091	OM037668.1_00084
OG0000008	MW139932.1_00032	OM037668.1_00038
OG0000009	MW139932.1_00115	OM037668.1_00077
OG0000010	MW139932.1_00078	OM037668.1_00133, OM037668.1_00125, OM037668.1_00006
OG0000011	MW139932.1_00065	OM037668.1_00009
OG0000012	MW139932.1_00023	OM037668.1_00041
OG0000013	MW139932.1_00059	OM037668.1_00098
OG0000014	MW139932.1_00123	OM037668.1_00078
OG0000015	MW139932.1_00124	OM037668.1_00004
OG0000016	MW139932.1_00088	OM037668.1_00089
OG0000017	MW139932.1_00036	OM037668.1_00124
OG0000018	MW139932.1_00108	OM037668.1_00073
OG0000019	MW139932.1_00087	OM037668.1_00090
OG0000020	MW139932.1_00034	OM037668.1_00123
OG0000021	MW139932.1_00005	OM037668.1_00013
OG0000022	MW139932.1_00038	OM037668.1_00127
OG0000023	MW139932.1_00047	OM037668.1_00113
OG0000024	MW139932.1_00029	OM037668.1_00064
OG0000025	MW139932.1_00066	OM037668.1_00024
OG0000026	MW139932.1_00111	OM037668.1_00074
OG0000027	MW139932.1_00089	OM037668.1_00087
OG0000028	MW139932.1_00050	OM037668.1_00110
OG0000029	MW139932.1_00063	OM037668.1_00095
OG0000030	MW139932.1_00001	OM037668.1_00030
OG0000031	MW139932.1_00006	OM037668.1_00011
OG0000032	MW139932.1_00082	OM037668.1_00019
OG0000033	MW139932.1_00090	OM037668.1_00086
OG0000034	MW139932.1_00125	OM037668.1_00028
OG0000035	MW139932.1_00013	OM037668.1_00051
OG0000036	MW139932.1_00014	OM037668.1_00005
OG0000037	MW139932.1_00019	OM037668.1_00046
OG0000038	MW139932.1_00020	OM037668.1_00045
OG0000039	MW139932.1_00024	OM037668.1_00040
OG0000040	MW139932.1_00025	OM037668.1_00048
OG0000041	MW139932.1_00035	OM037668.1_00003
OG0000042	MW139932.1_00039	OM037668.1_00122
OG0000043	MW139932.1_00051	OM037668.1_00106
OG0000044	MW139932.1_00052	OM037668.1_00105
OG0000045	MW139932.1_00057	OM037668.1_00100
OG0000046	MW139932.1_00058	OM037668.1_00099
OG0000047	MW139932.1_00060	OM037668.1_00097
OG0000048	MW139932.1_00061	OM037668.1_00085
OG0000049	MW139932.1_00062	OM037668.1_00096
OG0000050	MW139932.1_00079	OM037668.1_00020
OG0000051	MW139932.1_00083	OM037668.1_00018
OG0000052	MW139932.1_00084	OM037668.1_00130
OG0000053	MW139932.1_00095	OM037668.1_00081
OG0000054	MW139932.1_00097	OM037668.1_00032
OG0000055	MW139932.1_00100	OM037668.1_00033
OG0000056	MW139932.1_00112	OM037668.1_00075
OG0000057	MW139932.1_00117	OM037668.1_00079
OG0000058	MW139932.1_00119	OM037668.1_00134
OG0000059	MW139932.1_00002	OM037668.1_00031
OG0000060	MW139932.1_00010	OM037668.1_00054
OG0000061	MW139932.1_00018	OM037668.1_00047
OG0000062	MW139932.1_00092	OM037668.1_00083
OG0000096	MW139932.1_00121	OM037668.1_00091
OG0000114	MW139932.1_00022	OM037668.1_00042
OG0000115	MW139932.1_00011	OM037668.1_00053
OG0000118	MW139932.1_00093	OM037668.1_00082
