Orthogroup	MW139932.1	OL774654.1
OG0000000	MW139932.1_00033	OL774654.1_00031
OG0000001	MW139932.1_00008	OL774654.1_00008
OG0000002	MW139932.1_00007	OL774654.1_00007
OG0000003	MW139932.1_00015	OL774654.1_00015
OG0000004	MW139932.1_00113	OL774654.1_00111
OG0000005	MW139932.1_00096	OL774654.1_00094
OG0000006	MW139932.1_00077	OL774654.1_00075
OG0000007	MW139932.1_00091	OL774654.1_00089
OG0000008	MW139932.1_00032	OL774654.1_00030
OG0000009	MW139932.1_00115	OL774654.1_00113
OG0000010	MW139932.1_00078	OL774654.1_00076
OG0000011	MW139932.1_00065	OL774654.1_00063
OG0000012	MW139932.1_00023	OL774654.1_00022
OG0000013	MW139932.1_00059	OL774654.1_00057
OG0000014	MW139932.1_00123	OL774654.1_00121
OG0000015	MW139932.1_00124	OL774654.1_00122
OG0000016	MW139932.1_00088	OL774654.1_00086
OG0000017	MW139932.1_00036	OL774654.1_00034
OG0000018	MW139932.1_00108	OL774654.1_00106
OG0000019	MW139932.1_00087	OL774654.1_00085
OG0000020	MW139932.1_00034	OL774654.1_00032
OG0000021	MW139932.1_00005	OL774654.1_00005
OG0000022	MW139932.1_00038	OL774654.1_00036
OG0000023	MW139932.1_00047	OL774654.1_00045
OG0000024	MW139932.1_00029	OL774654.1_00027
OG0000025	MW139932.1_00066	OL774654.1_00064
OG0000026	MW139932.1_00111	OL774654.1_00109
OG0000027	MW139932.1_00089	OL774654.1_00087
OG0000028	MW139932.1_00050	OL774654.1_00048
OG0000029	MW139932.1_00063	OL774654.1_00061
OG0000030	MW139932.1_00001	OL774654.1_00001
OG0000031	MW139932.1_00006	OL774654.1_00006
OG0000032	MW139932.1_00082	OL774654.1_00080
OG0000033	MW139932.1_00090	OL774654.1_00088
OG0000034	MW139932.1_00125	OL774654.1_00123
OG0000035	MW139932.1_00013	OL774654.1_00013
OG0000036	MW139932.1_00014	OL774654.1_00014
OG0000037	MW139932.1_00019	OL774654.1_00019
OG0000038	MW139932.1_00020	OL774654.1_00020
OG0000039	MW139932.1_00024	OL774654.1_00023
OG0000040	MW139932.1_00025	OL774654.1_00024
OG0000041	MW139932.1_00035	OL774654.1_00033
OG0000042	MW139932.1_00039	OL774654.1_00037
OG0000043	MW139932.1_00051	OL774654.1_00049
OG0000044	MW139932.1_00052	OL774654.1_00050
OG0000045	MW139932.1_00057	OL774654.1_00055
OG0000046	MW139932.1_00058	OL774654.1_00056
OG0000047	MW139932.1_00060	OL774654.1_00058
OG0000048	MW139932.1_00061	OL774654.1_00059
OG0000049	MW139932.1_00062	OL774654.1_00060
OG0000050	MW139932.1_00079	OL774654.1_00077
OG0000051	MW139932.1_00083	OL774654.1_00081
OG0000052	MW139932.1_00084	OL774654.1_00082
OG0000053	MW139932.1_00095	OL774654.1_00093
OG0000054	MW139932.1_00097	OL774654.1_00095
OG0000055	MW139932.1_00100	OL774654.1_00098
OG0000056	MW139932.1_00112	OL774654.1_00110
OG0000057	MW139932.1_00117	OL774654.1_00115
OG0000058	MW139932.1_00119	OL774654.1_00117
OG0000059	MW139932.1_00002	OL774654.1_00002
OG0000060	MW139932.1_00010	OL774654.1_00010
OG0000061	MW139932.1_00018	OL774654.1_00018
OG0000062	MW139932.1_00092	OL774654.1_00090
OG0000063	MW139932.1_00074	OL774654.1_00072
OG0000064	MW139932.1_00017	OL774654.1_00017
OG0000065	MW139932.1_00041	OL774654.1_00039
