Orthogroup	MG570132.1	NC_005946.1
OG0000000	MG570132.1_00031	NC_005946.1_00010
OG0000001	MG570132.1_00009	NC_005946.1_00053
OG0000002	MG570132.1_00008, MG570132.1_00007	NC_005946.1_00091
OG0000003	MG570132.1_00016	NC_005946.1_00057
OG0000004	MG570132.1_00108	NC_005946.1_00028
OG0000005	MG570132.1_00092	NC_005946.1_00014
OG0000006	MG570132.1_00073	NC_005946.1_00042
OG0000007	MG570132.1_00087	NC_005946.1_00002
OG0000008	MG570132.1_00030	NC_005946.1_00095
OG0000009	MG570132.1_00110	NC_005946.1_00092
OG0000011	MG570132.1_00063	NC_005946.1_00011
OG0000012	MG570132.1_00023	NC_005946.1_00060
OG0000013	MG570132.1_00057	NC_005946.1_00022
OG0000014	MG570132.1_00118	NC_005946.1_00016
OG0000015	MG570132.1_00119	NC_005946.1_00021
OG0000016	MG570132.1_00084	NC_005946.1_00082
OG0000017	MG570132.1_00034	NC_005946.1_00087
OG0000018	MG570132.1_00103	NC_005946.1_00023
OG0000019	MG570132.1_00083	NC_005946.1_00094
OG0000020	MG570132.1_00032	NC_005946.1_00083
OG0000021	MG570132.1_00005	NC_005946.1_00038
OG0000022	MG570132.1_00036	NC_005946.1_00061
OG0000023	MG570132.1_00045	NC_005946.1_00089
OG0000024	MG570132.1_00028	NC_005946.1_00067
OG0000026	MG570132.1_00106	NC_005946.1_00086
OG0000027	MG570132.1_00085	NC_005946.1_00049
OG0000028	MG570132.1_00048	NC_005946.1_00085
OG0000112	MG570132.1_00077	NC_005946.1_00006
