Orthogroup	KF938901	HF920637
OG0000000	KF938901.1_00126 DNA-directed RNA polymerase subunit 1	HF920637.1_00129_DNA_polymerase_1 HF920637.1 - DNA_polymerase_1, HF920637.1_00164_DNA_polymerase_2 HF920637.1 - DNA_polymerase_2
OG0000001	KF938901.1_00005 hypothetical protein	HF920637.1_00159 HF920637.1 - hypothetical protein translation
OG0000002	KF938901.1_00080 hypothetical protein	HF920637.1_00059 HF920637.1 - hypothetical protein translation
OG0000003	KF938901.1_00067 hypothetical protein	HF920637.1 00176 HF920637.1 - hypothetical protein translation, HF920637.1_00175 HF920637.1 - hypothetical protein translation
OG0000004	KF938901.1_00114 hypothetical protein	HF920637.1_00015 HF920637.1 - hypothetical protein translation, HF920637.1_00153 HF920637.1 - hypothetical protein translation
OG0000005	KF938901.1_00092 hypothetical protein	HF920637.1_00217 HF920637.1 - hypothetical protein translation
OG0000006	KF938901.1_00054 hypothetical protein	HF920637.1_00001 HF920637.1 - hypothetical protein translation
OG0000007	KF938901.1_00060 hypothetical protein	HF920637.1_00017 HF920637.1 - hypothetical protein translation
OG0000008	KF938901.1_00074 hypothetical protein	HF920637.1_00108 HF920637.1 - hypothetical protein translation
OG0000009	KF938901.1_00095 hypothetical protein	HF920637.1_00152 HF920637.1 - hypothetical protein translation
OG0000010	KF938901.1_00123 hypothetical protein	HF920637.1_00073 HF920637.1 - hypothetical protein translation
OG0000011	KF938901.1_00025 hypothetical protein	HF920637.1_00111 HF920637.1 - hypothetical protein translation
OG0000012	KF938901.1_00044 Major capsid protein	HF920637.1_00143 HF920637.1 - Major capsid protein translation
OG0000013	KF938901.1_00012 hypothetical protein	HF920637.1_00197 HF920637.1 - hypothetical protein translation
OG0000014	KF938901.1_00053 hypothetical protein	HF920637.1_00172 HF920637.1 - hypothetical protein translation
OG0000015	KF938901.1_00047 hypothetical protein	HF920637.1_00031 HF920637.1 - hypothetical protein translation
OG0000016	KF938901.1_00124 hypothetical protein	HF920637.1_00041 HF920637.1 - hypothetical protein translation
OG0000017	KF938901.1_00023 DNA-directed RNA polymerase subunit 2	HF920637.1_00213 HF920637.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000018	KF938901.1_00046 hypothetical protein	HF920637.1_00079 HF920637.1 - hypothetical protein translation
OG0000019	KF938901.1_00043 hypothetical protein	HF920637.1_00025 HF920637.1 - hypothetical protein translation
OG0000020	KF938901.1_00125 hypothetical protein	HF920637.1_00221 HF920637.1 - hypothetical protein translation
OG0000021	KF938901.1_00094 Ribonucleoside-diphosphate reductase small chain	HF920637.1_00061 HF920637.1 - Ribonucleoside-diphosphate reductase small chain translation
