Orthogroup	KF938901	HF920633
OG0000000	KF938901.1_00126 DNA-directed RNA polymerase subunit 1	HF920633.1_00044 hypothetical protein
OG0000001	KF938901.1_00005 hypothetical protein	HF920633.1_00127 hypothetical protein
OG0000002	KF938901.1_00080 hypothetical protein	HF920633.1_00069 hypothetical protein
OG0000003	KF938901.1_00067 hypothetical protein	HF920633.1_00043 hypothetical protein
OG0000004	KF938901.1_00114 hypothetical protein	HF920633.1_00122 hypothetical protein
OG0000005	KF938901.1_00092 hypothetical protein	HF920633.1_00118 hypothetical protein
OG0000006	KF938901.1_00054 hypothetical protein	HF920633.1_00001 hypothetical protein
OG0000007	KF938901.1_00060 hypothetical protein	HF920633.1_00067 hypothetical protein
OG0000008	KF938901.1_00074 hypothetical protein	HF920633.1_00138 hypothetical protein
OG0000009	KF938901.1_00095 hypothetical protein	HF920633.1_00058 hypothetical protein
OG0000010	KF938901.1_00123 hypothetical protein	HF920633.1_00158 hypothetical protein
OG0000011	KF938901.1_00025 hypothetical protein	HF920633.1_00003 hypothetical protein
OG0000012	KF938901.1_00044 Major capsid protein	HF920633.1_00073 Major capsid protein
OG0000013	KF938901.1_00012 hypothetical protein	HF920633.1_00163 hypothetical protein
OG0000014	KF938901.1_00053 hypothetical protein	HF920633.1_00091 hypothetical protein
OG0000015	KF938901.1_00047 hypothetical protein	HF920633.1_00080 hypothetical protein
OG0000016	KF938901.1_00124 hypothetical protein	HF920633.1_00097 hypothetical protein
OG0000017	KF938901.1_00023 DNA-directed RNA polymerase subunit 2	HF920633.1_00175 DNA-directed RNA polymerase subunit 2
OG0000018	KF938901.1_00046 hypothetical protein	HF920633.1_00094 hypothetical protein
OG0000019	KF938901.1_00043 hypothetical protein	HF920633.1_00079 hypothetical protein
OG0000020	KF938901.1_00125 hypothetical protein	HF920633.1_00085 hypothetical protein
OG0000021	KF938901.1_00094 Ribonucleoside-diphosphate reductase small chain	HF920633.1_00062 Ribonucleoside-diphosphate reductase small chain
OG0000023	KF938901.1_00072 hypothetical protein	HF920633.1_00025 hypothetical protein
OG0000026	KF938901.1_00093 hypothetical protein	HF920633.1_00047 hypothetical protein
