Orthogroup	KF938901	MT521409
OG0000000	KF938901.1_00126 DNA-directed RNA polymerase subunit 1	OM037668.1_00035 hypothetical protein
OG0000001	KF938901.1_00005 hypothetical protein	OM037668.1_00050 hypothetical protein
OG0000002	KF938901.1_00080 hypothetical protein	OM037668.1_00056 hypothetical protein
OG0000003	KF938901.1_00067 hypothetical protein	SDDV_ORF038 Flap endonuclease
OG0000004	KF938901.1_00114 hypothetical protein	OM037668.1_00077 hypothetical protein
OG0000005	KF938901.1_00092 hypothetical protein	OM037668.1_00009 hypothetical protein
OG0000006	KF938901.1_00054 hypothetical protein	OM037668.1_00041 hypothetical protein
OG0000007	KF938901.1_00060 hypothetical protein	OM037668.1_00098 hypothetical protein
OG0000008	KF938901.1_00074 hypothetical protein	OM037668.1_00078 hypothetical protein
OG0000009	KF938901.1_00095 hypothetical protein	OM037668.1_00004 hypothetical protein
OG0000010	KF938901.1_00123 hypothetical protein	OM037668.1_00124 hypothetical protein
OG0000011	KF938901.1_00025 hypothetical protein	OM037668.1_00073 hypothetical protein
OG0000012	KF938901.1_00044 Major capsid protein	OM037668.1_00057 Major capsid protein
OG0000013	KF938901.1_00012 hypothetical protein	OM037668.1_00090 hypothetical protein
OG0000014	KF938901.1_00053 hypothetical protein	OM037668.1_00084 hypothetical protein
OG0000015	KF938901.1_00047 hypothetical protein	OM037668.1_00123 hypothetical protein
OG0000016	KF938901.1_00124 hypothetical protein	OM037668.1_00013 hypothetical protein
OG0000017	KF938901.1_00023 DNA-directed RNA polymerase subunit 2	OM037668.1_00127 DNA-directed RNA polymerase subunit 2
OG0000018	KF938901.1_00046 hypothetical protein	OM037668.1_00089 hypothetical protein
OG0000019	KF938901.1_00043 hypothetical protein	OM037668.1_00076 hypothetical protein
OG0000020	KF938901.1_00125 hypothetical protein	OM037668.1_00080 hypothetical protein
OG0000021	KF938901.1_00094 Ribonucleoside-diphosphate reductase small chain	OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain
OG0000023	KF938901.1_00072 hypothetical protein	OM037668.1_00021 hypothetical protein
OG0000026	KF938901.1_00093 hypothetical protein	OM037668.1_00024 hypothetical protein
OG0000135	KF938901.1_00108 Thymidylate synthase	OM037668.1_00068 Thymidylate synthase
