Orthogroup	Lymph_LDV1_L63545.1	MCV_MP1_ISKNV_MK689685.1
OG0000000	Lymph_LDV1_L63545.1_00007	MCV_MP1_ISKNV_MK689685.1_00029
OG0000001	Lymph_LDV1_L63545.1_00079	MCV_MP1_ISKNV_MK689685.1_00007
OG0000002	Lymph_LDV1_L63545.1_00035	MCV_MP1_ISKNV_MK689685.1_00008
OG0000003	Lymph_LDV1_L63545.1_00076	MCV_MP1_ISKNV_MK689685.1_00015
OG0000004	Lymph_LDV1_L63545.1_00001	MCV_MP1_ISKNV_MK689685.1_00110
OG0000005	Lymph_LDV1_L63545.1_00090	MCV_MP1_ISKNV_MK689685.1_00089
OG0000006	Lymph_LDV1_L63545.1_00108	MCV_MP1_ISKNV_MK689685.1_00028
OG0000007	Lymph_LDV1_L63545.1_00093	MCV_MP1_ISKNV_MK689685.1_00075
OG0000008	Lymph_LDV1_L63545.1_00024	MCV_MP1_ISKNV_MK689685.1_00111
OG0000009	Lymph_LDV1_L63545.1_00056	MCV_MP1_ISKNV_MK689685.1_00094
OG0000011	Lymph_LDV1_L63545.1_00009	MCV_MP1_ISKNV_MK689685.1_00085
OG0000012	Lymph_LDV1_L63545.1_00013	MCV_MP1_ISKNV_MK689685.1_00034
OG0000013	Lymph_LDV1_L63545.1_00068	MCV_MP1_ISKNV_MK689685.1_00105
OG0000014	Lymph_LDV1_L63545.1_00073	MCV_MP1_ISKNV_MK689685.1_00086
OG0000015	Lymph_LDV1_L63545.1_00098	MCV_MP1_ISKNV_MK689685.1_00030
OG0000016	Lymph_LDV1_L63545.1_00071	MCV_MP1_ISKNV_MK689685.1_00021
OG0000017	Lymph_LDV1_L63545.1_00004	MCV_MP1_ISKNV_MK689685.1_00054
OG0000018	Lymph_LDV1_L63545.1_00030	MCV_MP1_ISKNV_MK689685.1_00118
OG0000019	Lymph_LDV1_L63545.1_00069	MCV_MP1_ISKNV_MK689685.1_00061
OG0000020	Lymph_LDV1_L63545.1_00110	MCV_MP1_ISKNV_MK689685.1_00119
OG0000021	Lymph_LDV1_L63545.1_00072	MCV_MP1_ISKNV_MK689685.1_00032
OG0000022	Lymph_LDV1_L63545.1_00043	MCV_MP1_ISKNV_MK689685.1_00005
OG0000023	Lymph_LDV1_L63545.1_00054	MCV_MP1_ISKNV_MK689685.1_00043
OG0000026	Lymph_LDV1_L63545.1_00002	MCV_MP1_ISKNV_MK689685.1_00108
OG0000027	Lymph_LDV1_L63545.1_00058	MCV_MP1_ISKNV_MK689685.1_00087
OG0000028	Lymph_LDV1_L63545.1_00003	MCV_MP1_ISKNV_MK689685.1_00046
