Orthogroup	Lymph_LDV1_L63545.1	Decap_MF599468.1
OG0000000	Lymph_LDV1_L63545.1_00007	Decap_MF599468.1_00057, Decap_MF599468.1_00056
OG0000001	Lymph_LDV1_L63545.1_00079	Decap_MF599468.1_00152
OG0000002	Lymph_LDV1_L63545.1_00035	Decap_MF599468.1_00163
OG0000003	Lymph_LDV1_L63545.1_00076	Decap_MF599468.1_00011
OG0000004	Lymph_LDV1_L63545.1_00001	Decap_MF599468.1_00092
OG0000005	Lymph_LDV1_L63545.1_00090	Decap_MF599468.1_00174
OG0000006	Lymph_LDV1_L63545.1_00108	Decap_MF599468.1_00030
OG0000007	Lymph_LDV1_L63545.1_00093	Decap_MF599468.1_00010
OG0000008	Lymph_LDV1_L63545.1_00024	Decap_MF599468.1_00075
OG0000009	Lymph_LDV1_L63545.1_00056	Decap_MF599468.1_00154
OG0000011	Lymph_LDV1_L63545.1_00009	Decap_MF599468.1_00106
OG0000012	Lymph_LDV1_L63545.1_00013	Decap_MF599468.1_00071
OG0000013	Lymph_LDV1_L63545.1_00068	Decap_MF599468.1_00117
OG0000014	Lymph_LDV1_L63545.1_00073	Decap_MF599468.1_00046
OG0000015	Lymph_LDV1_L63545.1_00098	Decap_MF599468.1_00090
OG0000016	Lymph_LDV1_L63545.1_00071	Decap_MF599468.1_00112
OG0000017	Lymph_LDV1_L63545.1_00004	Decap_MF599468.1_00033
OG0000018	Lymph_LDV1_L63545.1_00030	Decap_MF599468.1_00122
OG0000019	Lymph_LDV1_L63545.1_00069	Decap_MF599468.1_00149
OG0000020	Lymph_LDV1_L63545.1_00110	Decap_MF599468.1_00009
OG0000021	Lymph_LDV1_L63545.1_00072	Decap_MF599468.1_00035
OG0000022	Lymph_LDV1_L63545.1_00043	Decap_MF599468.1_00116
OG0000023	Lymph_LDV1_L63545.1_00054	Decap_MF599468.1_00171
OG0000026	Lymph_LDV1_L63545.1_00002	Decap_MF599468.1_00039
OG0000113	Lymph_LDV1_L63545.1_00042	Decap_MF599468.1_00096
OG0000113	Lymph_LDV1_L63545.1_00005, Lymph_LDV1_L63545.1_00088, Lymph_LDV1_L63545.1_00051, Lymph_LDV1_L63545.1_00047, Lymph_LDV1_L63545.1_00050	Decap_MF599468.1_00045, Decap_MF599468.1_00036
OG0000133	Lymph_LDV1_L63545.1_00016	Decap_MF599468.1_00027
OG0000134	Lymph_LDV1_L63545.1_00092	Decap_MF599468.1_00002
OG0000138	Lymph_LDV1_L63545.1_00023	Decap_MF599468.1_00051
OG0000152	Lymph_LDV1_L63545.1_00018	Decap_MF599468.1_00060
OG0000154	Lymph_LDV1_L63545.1_00012	Decap_MF599468.1_00074
OG0000160	Lymph_LDV1_L63545.1_00055	Decap_MF599468.1_00156, Decap_MF599468.1_00066
OG0000177	Lymph_LDV1_L63545.1_00091	Decap_MF599468.1_00089, Decap_MF599468.1_00108
OG0000205	Lymph_LDV1_L63545.1_00106	Decap_MF599468.1_00006
OG0000231	Lymph_LDV1_L63545.1_00082	Decap_MF599468.1_00062
